family,taxon,author,native to
Acanthaceae,Anisotes pubinervius,(T.Anderson) Heine,Sudan
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Sudan
Anacardiaceae,Haematostaphis barteri,Hook.f.,Sudan
Anacardiaceae,Lannea barteri,(Oliv.) Engl.,Sudan
Anacardiaceae,Lannea fruticosa,(Hochst. ex A.Rich.) Engl.,Sudan
Anacardiaceae,Lannea humilis,(Oliv.) Engl.,Sudan
Anacardiaceae,Lannea schweinfurthii,Engl.,Sudan
Anacardiaceae,Ozoroa insignis,Delile,Sudan
Anacardiaceae,Pistacia falcata,Becc. ex Martelli,Sudan
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Sudan
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,Sudan
Anacardiaceae,Searsia glutinosa,(Hochst. ex A.Rich.) Moffett,Sudan
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,Sudan
Anacardiaceae,Searsia retinorrhoea,(Steud. ex Oliv.) Moffett,Sudan
Anacardiaceae,Searsia tripartita,(Ucria) Moffett,Sudan
Annonaceae,Annona senegalensis,Pers.,Sudan
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Sudan
Annonaceae,Xylopia acutiflora,(Dunal) A.Rich.,Sudan
Annonaceae,Xylopia nilotica,D.M.Johnson & N.A.Murray,Sudan
Apiaceae,Steganotaenia araliacea,Hochst.,Sudan
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,Sudan
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Sudan
Apocynaceae,Carissa spinarum,L.,Sudan
Apocynaceae,Holarrhena floribunda,(G.Don) T.Durand & Schinz,Sudan
Apocynaceae,Periploca aphylla,Decne.,Sudan
Araliaceae,Cussonia arborea,Hochst. ex A.Rich.,Sudan
Araliaceae,Polyscias fulva,(Hiern) Harms,Sudan
Arecaceae,Borassus aethiopum,Mart.,Sudan
Arecaceae,Hyphaene thebaica,(L.) Mart.,Sudan
Arecaceae,Medemia argun,(Mart.) Württemb. ex H.Wendl.,Sudan
