family,taxon,author,native to
Acanthaceae,Aphelandra pulcherrima,(Jacq.) Kunth,Suriname
Acanthaceae,Aphelandra scabra,(Vahl) Sm.,Suriname
Acanthaceae,Avicennia germinans,(L.) L.,Suriname
Acanthaceae,Avicennia schaueriana,Stapf & Leechm. ex Moldenke,Suriname
Acanthaceae,Trichanthera gigantea,(Bonpl.) Nees,Suriname
Achariaceae,Carpotroche surinamensis,Uittien,Suriname
Anacardiaceae,Anacardium giganteum,Hancock ex Engl.,Suriname
Anacardiaceae,Anacardium occidentale,L.,Suriname
Anacardiaceae,Anacardium spruceanum,Benth. ex Engl.,Suriname
Anacardiaceae,Astronium fraxinifolium,Schott,Suriname
Anacardiaceae,Astronium lecointei,Ducke,Suriname
Anacardiaceae,Astronium ulei,Mattick,Suriname
Anacardiaceae,Loxopterygium sagotii,Hook.f.,Suriname
Anacardiaceae,Spondias mombin,L.,Suriname
Anacardiaceae,Tapirira guianensis,Aubl.,Suriname
Anacardiaceae,Tapirira obtusa,(Benth.) J.D.Mitch.,Suriname
Anacardiaceae,Thyrsodium guianense,Sagot ex Marchand,Suriname
Anacardiaceae,Thyrsodium puberulum,J.D. Mitch. & D.C. Daly,Suriname
Anacardiaceae,Thyrsodium spruceanum,Benth.,Suriname
Annonaceae,Anaxagorea acuminata,(Dunal) A.St.-Hil. ex A.DC.,Suriname
Annonaceae,Anaxagorea brevipes,Benth.,Suriname
Annonaceae,Anaxagorea dolichocarpa,Sprague & Sandwith,Suriname
Annonaceae,Anaxagorea prinoides,(Dunal) A.St.-Hil.,Suriname
Annonaceae,Annona ambotay,Aubl.,Suriname
Annonaceae,Annona densicoma,Mart.,Suriname
Annonaceae,Annona echinata,Dunal,Suriname
Annonaceae,Annona exsucca,DC.,Suriname
Annonaceae,Annona foetida,Mart.,Suriname
Annonaceae,Annona glabra,L.,Suriname
Annonaceae,Annona hypoglauca,Mart.,Suriname
Annonaceae,Annona montana,Macfad.,Suriname
Annonaceae,Annona mucosa,Jacq.,Suriname
Annonaceae,Annona muricata,L.,Suriname
Annonaceae,Annona neoelliptica,H.Rainer & Maas,Suriname
Annonaceae,Annona paludosa,Aubl.,Suriname
Annonaceae,Annona sericea,Dunal,Suriname
Annonaceae,Annona tenuiflora,Mart.,Suriname
Annonaceae,Bocageopsis multiflora,(Mart.) R.E.Fr.,Suriname
Annonaceae,Cardiopetalum surinamense,R.E.Fr.,Suriname
Annonaceae,Cremastosperma monospermum,(Rusby) R.E.Fr.,Suriname
Annonaceae,Cymbopetalum brasiliense,(Vell.) Benth. ex Baill.,Suriname
Annonaceae,Duguetia amplexifolia,R.E.Fr.,Suriname
Annonaceae,Duguetia cadaverica,Huber,Suriname
Annonaceae,Duguetia calycina,Benoist,Suriname
Annonaceae,Duguetia cauliflora,R.E.Fr.,Suriname
Annonaceae,Duguetia eximia,Diels,Suriname
Annonaceae,Duguetia granvilleana,Maas,Suriname
Annonaceae,Duguetia guianensis,R.E.Fr.,Suriname
Annonaceae,Duguetia inconspicua,Sagot,Suriname
Annonaceae,Duguetia lepidota,(Miq.) Pulle,Suriname
Annonaceae,Duguetia neglecta,Sandwith,Suriname
Annonaceae,Duguetia oligocarpa,Maas & J.A.C.Dam,Suriname
Annonaceae,Duguetia paraensis,R.E.Fr.,Suriname
Annonaceae,Duguetia pycnastera,Sandwith,Suriname
Annonaceae,Duguetia riparia,Huber,Suriname
Annonaceae,Duguetia schulzii,Jans.-Jac.,Suriname
Annonaceae,Duguetia surinamensis,R.E.Fr.,Suriname
Annonaceae,Duguetia yeshidan,Sandwith,Suriname
Annonaceae,Ephedranthus guianensis,R.E.Fr.,Suriname
Annonaceae,Fusaea longifolia,(Aubl.) Saff.,Suriname
Annonaceae,Guatteria citriodora,Ducke,Suriname
Annonaceae,Guatteria conspicua,R.E.Fr.,Suriname
Annonaceae,Guatteria intermedia,Scharf,Suriname
Annonaceae,Guatteria liesneri,D.M.Johnson & N.A.Murray,Suriname
Annonaceae,Guatteria minutiflora,Scharf & Maas,Suriname
