family,taxon,author,native to
Aquifoliaceae,Ilex aquifolium,L.,Sweden
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Sweden
Betulaceae,Alnus incana,(L.) Moench,Sweden
Betulaceae,Betula pendula,Roth,Sweden
Betulaceae,Betula pubescens,Ehrh.,Sweden
Betulaceae,Carpinus betulus,L.,Sweden
Betulaceae,Corylus avellana,L.,Sweden
Celastraceae,Euonymus europaeus,L.,Sweden
Cupressaceae,Juniperus communis,L.,Sweden
Elaeagnaceae,Hippophae rhamnoides,L.,Sweden
Fagaceae,Fagus sylvatica,L.,Sweden
Fagaceae,Quercus petraea,(Matt.) Liebl.,Sweden
Fagaceae,Quercus robur,L.,Sweden
Malvaceae,Tilia cordata,Mill.,Sweden
Malvaceae,Tilia platyphyllos,Scop.,Sweden
Oleaceae,Fraxinus excelsior,L.,Sweden
Pinaceae,Picea abies,(L.) H.Karst.,Sweden
Pinaceae,Pinus sylvestris,L.,Sweden
Rhamnaceae,Frangula alnus,Mill.,Sweden
Rhamnaceae,Rhamnus cathartica,L.,Sweden
Rosaceae,Crataegus laevigata,(Poir.) DC.,Sweden
Rosaceae,Crataegus monogyna,Jacq.,Sweden
Rosaceae,Crataegus rhipidophylla,Gand.,Sweden
Rosaceae,Malus sylvestris,(L.) Mill.,Sweden
Rosaceae,Prunus avium,(L.) L.,Sweden
Rosaceae,Prunus padus,L.,Sweden
Rosaceae,Prunus spinosa,L.,Sweden
Rosaceae,Sorbus atrata,Hedrén & J.Levin,Sweden
Rosaceae,Sorbus aucuparia,L.,Sweden
Rosaceae,Sorbus faohraei,Hedrén & J.Levin,Sweden
Rosaceae,Sorbus hybrida,L.,Sweden
Rosaceae,Sorbus intermedia,(Ehrh.) Pers.,Sweden
Rosaceae,Sorbus rupicola,(Syme) Hedl.,Sweden
Rosaceae,Sorbus teodorii,Liljef.,Sweden
Salicaceae,Populus tremula,L.,Sweden
Salicaceae,Salix alba,L.,Sweden
Salicaceae,Salix bebbiana,Sarg.,Sweden
Salicaceae,Salix caprea,L.,Sweden
Salicaceae,Salix daphnoides,Vill.,Sweden
Salicaceae,Salix glauca,L.,Sweden
Salicaceae,Salix myrsinifolia,Salisb.,Sweden
Salicaceae,Salix pentandra,L.,Sweden
Salicaceae,Salix phylicifolia,L.,Sweden
Salicaceae,Salix triandra,L.,Sweden
Sapindaceae,Acer campestre,L.,Sweden
Sapindaceae,Acer platanoides,L.,Sweden
Taxaceae,Taxus baccata,L.,Sweden
Ulmaceae,Ulmus glabra,Huds.,Sweden
Ulmaceae,Ulmus laevis,Pall.,Sweden
Ulmaceae,Ulmus minor,Mill.,Sweden
Viburnaceae,Sambucus nigra,L.,Sweden
