family,taxon,author,native to
Anacardiaceae,Cotinus coggygria,Scop.,Switzerland
Aquifoliaceae,Ilex aquifolium,L.,Switzerland
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Switzerland
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Switzerland
Betulaceae,Alnus incana,(L.) Moench,Switzerland
Betulaceae,Betula pendula,Roth,Switzerland
Betulaceae,Betula pubescens,Ehrh.,Switzerland
Betulaceae,Carpinus betulus,L.,Switzerland
Betulaceae,Corylus avellana,L.,Switzerland
Betulaceae,Ostrya carpinifolia,Scop.,Switzerland
Buxaceae,Buxus sempervirens,L.,Switzerland
Celastraceae,Euonymus europaeus,L.,Switzerland
Celastraceae,Euonymus latifolius,(L.) Mill.,Switzerland
Cornaceae,Cornus mas,L.,Switzerland
Cupressaceae,Juniperus communis,L.,Switzerland
Elaeagnaceae,Hippophae rhamnoides,L.,Switzerland
Fabaceae,Laburnum alpinum,(Mill.) Bercht. & J.Presl,Switzerland
Fabaceae,Laburnum anagyroides,Medik.,Switzerland
Fagaceae,Fagus sylvatica,L.,Switzerland
Fagaceae,Quercus cerris,L.,Switzerland
Fagaceae,Quercus ilex,L.,Switzerland
Fagaceae,Quercus petraea,(Matt.) Liebl.,Switzerland
Fagaceae,Quercus pubescens,Willd.,Switzerland
Fagaceae,Quercus robur,L.,Switzerland
Malvaceae,Tilia cordata,Mill.,Switzerland
Malvaceae,Tilia platyphyllos,Scop.,Switzerland
Oleaceae,Fraxinus excelsior,L.,Switzerland
Oleaceae,Fraxinus ornus,L.,Switzerland
Pinaceae,Abies alba,Mill.,Switzerland
Pinaceae,Larix decidua,Mill.,Switzerland
Pinaceae,Picea abies,(L.) H.Karst.,Switzerland
Pinaceae,Pinus cembra,L.,Switzerland
Pinaceae,Pinus mugo,Turra,Switzerland
Pinaceae,Pinus sylvestris,L.,Switzerland
Pinaceae,Pinus uncinata,Ramond ex DC.,Switzerland
Rhamnaceae,Frangula alnus,Mill.,Switzerland
Rhamnaceae,Rhamnus alaternus,L.,Switzerland
Rhamnaceae,Rhamnus alpina,L.,Switzerland
Rhamnaceae,Rhamnus cathartica,L.,Switzerland
Rosaceae,Crataegus laevigata,(Poir.) DC.,Switzerland
Rosaceae,Crataegus monogyna,Jacq.,Switzerland
Rosaceae,Crataegus rhipidophylla,Gand.,Switzerland
Rosaceae,Malus sylvestris,(L.) Mill.,Switzerland
Rosaceae,Prunus avium,(L.) L.,Switzerland
Rosaceae,Prunus mahaleb,L.,Switzerland
Rosaceae,Prunus padus,L.,Switzerland
Rosaceae,Pyrus communis,L.,Switzerland
Rosaceae,Pyrus nivalis,Jacq.,Switzerland
Rosaceae,Sorbus aria,(L.) Crantz,Switzerland
Rosaceae,Sorbus aucuparia,L.,Switzerland
Rosaceae,Sorbus mougeotii,Soy.-Will. & Godr.,Switzerland
Rosaceae,Sorbus torminalis,Garsault,Switzerland
Salicaceae,Populus alba,L.,Switzerland
Salicaceae,Populus tremula,L.,Switzerland
Salicaceae,Salix alba,L.,Switzerland
Salicaceae,Salix caprea,L.,Switzerland
Salicaceae,Salix cinerea,L.,Switzerland
Salicaceae,Salix daphnoides,Vill.,Switzerland
Salicaceae,Salix eleagnos,Scop.,Switzerland
Salicaceae,Salix myrsinifolia,Salisb.,Switzerland
Salicaceae,Salix pentandra,L.,Switzerland
Salicaceae,Salix purpurea,L.,Switzerland
Salicaceae,Salix triandra,L.,Switzerland
Salicaceae,Salix viminalis,L.,Switzerland
Sapindaceae,Acer campestre,L.,Switzerland
Sapindaceae,Acer opalus,Mill.,Switzerland
Sapindaceae,Acer platanoides,L.,Switzerland
Sapindaceae,Acer pseudoplatanus,L.,Switzerland
Staphyleaceae,Staphylea pinnata,L.,Switzerland
Tamaricaceae,Tamarix gallica,L.,Switzerland
Taxaceae,Taxus baccata,L.,Switzerland
Ulmaceae,Ulmus glabra,Huds.,Switzerland
Ulmaceae,Ulmus minor,Mill.,Switzerland
Viburnaceae,Sambucus nigra,L.,Switzerland
Viburnaceae,Sambucus racemosa,L.,Switzerland
Viburnaceae,Viburnum tinus,L.,Switzerland
