family,taxon,author,native to
Anacardiaceae,Cotinus coggygria,Scop.,Syrian Arab Republic
Anacardiaceae,Pistacia eurycarpa,Yaltirik,Syrian Arab Republic
Anacardiaceae,Pistacia khinjuk,Stocks,Syrian Arab Republic
Anacardiaceae,Pistacia lentiscus,L.,Syrian Arab Republic
Anacardiaceae,Rhus coriaria,L.,Syrian Arab Republic
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Syrian Arab Republic
Aquifoliaceae,Ilex aquifolium,L.,Syrian Arab Republic
Betulaceae,Alnus orientalis,Decne.,Syrian Arab Republic
Betulaceae,Carpinus orientalis,Mill.,Syrian Arab Republic
Betulaceae,Ostrya carpinifolia,Scop.,Syrian Arab Republic
Cannabaceae,Celtis australis,L.,Syrian Arab Republic
Cannabaceae,Celtis planchoniana,K.I.Chr.,Syrian Arab Republic
Cupressaceae,Juniperus deltoides,R.P.Adams,Syrian Arab Republic
Cupressaceae,Juniperus drupacea,Labill.,Syrian Arab Republic
Cupressaceae,Juniperus excelsa,M.Bieb.,Syrian Arab Republic
Cupressaceae,Juniperus oxycedrus,L.,Syrian Arab Republic
Cupressaceae,Juniperus phoenicea,L.,Syrian Arab Republic
Ericaceae,Arbutus unedo,L.,Syrian Arab Republic
Fabaceae,Anagyris foetida,L.,Syrian Arab Republic
Fabaceae,Ceratonia siliqua,L.,Syrian Arab Republic
Fabaceae,Faidherbia albida,(Delile) A.Chev.,Syrian Arab Republic
Fabaceae,Prosopis farcta,(Sol.) J.F.Macbr.,Syrian Arab Republic
Fabaceae,Senegalia laeta,(R.Br. ex Benth.) Seigler & Ebinger,Syrian Arab Republic
Fabaceae,Vachellia tortilis,(Forssk.) Galasso & Banfi,Syrian Arab Republic
Fagaceae,Castanea sativa,Mill.,Syrian Arab Republic
Fagaceae,Quercus brantii,Lindl.,Syrian Arab Republic
Fagaceae,Quercus cerris,L.,Syrian Arab Republic
Fagaceae,Quercus coccifera,L.,Syrian Arab Republic
Fagaceae,Quercus ilex,L.,Syrian Arab Republic
Fagaceae,Quercus ithaburensis,Decne.,Syrian Arab Republic
Fagaceae,Quercus libani,G.Olivier,Syrian Arab Republic
Fagaceae,Quercus look,Kotschy,Syrian Arab Republic
Fagaceae,Quercus macranthera,Fisch. & C.A.Mey. ex Hohen.,Syrian Arab Republic
Fagaceae,Quercus petraea,(Matt.) Liebl.,Syrian Arab Republic
Fagaceae,Quercus vulcanica,Boiss. & Heldr. ex Kotschy,Syrian Arab Republic
Lamiaceae,Vitex agnus-castus,L.,Syrian Arab Republic
Moraceae,Ficus carica,L.,Syrian Arab Republic
Moraceae,Ficus sycomorus,L.,Syrian Arab Republic
Moringaceae,Moringa peregrina,(Forssk.) Fiori,Syrian Arab Republic
Myrtaceae,Myrtus communis,L.,Syrian Arab Republic
Oleaceae,Fraxinus angustifolia,Vahl,Syrian Arab Republic
Oleaceae,Fraxinus ornus,L.,Syrian Arab Republic
Pinaceae,Abies cilicica,(Antoine & Kotschy) Carrière,Syrian Arab Republic
Pinaceae,Cedrus libani,A.Rich.,Syrian Arab Republic
Pinaceae,Pinus brutia,Ten.,Syrian Arab Republic
Pinaceae,Pinus halepensis,Mill.,Syrian Arab Republic
Platanaceae,Platanus orientalis,L.,Syrian Arab Republic
Rhamnaceae,Rhamnus alaternus,L.,Syrian Arab Republic
Rhamnaceae,Rhamnus alpina,L.,Syrian Arab Republic
Rhamnaceae,Ziziphus jujuba,Mill.,Syrian Arab Republic
