family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,"Taiwan, Province of China"
Actinidiaceae,Saurauia tristyla,DC.,"Taiwan, Province of China"
Akaniaceae,Bretschneidera sinensis,Hemsl.,"Taiwan, Province of China"
Altingiaceae,Liquidambar formosana,Hance,"Taiwan, Province of China"
Anacardiaceae,Buchanania arborescens,(Blume) Blume,"Taiwan, Province of China"
Anacardiaceae,Choerospondias axillaris,(Roxb.) B.L.Burtt & A.W.Hill,"Taiwan, Province of China"
Anacardiaceae,Pistacia chinensis,Bunge,"Taiwan, Province of China"
Anacardiaceae,Rhus chinensis,Mill.,"Taiwan, Province of China"
Anacardiaceae,Rhus hypoleuca,Champ. ex Benth.,"Taiwan, Province of China"
Anacardiaceae,Semecarpus cuneiformis,Blanco,"Taiwan, Province of China"
Anacardiaceae,Semecarpus longifolius,Blume,"Taiwan, Province of China"
Anacardiaceae,Toxicodendron succedaneum,(L.) Kuntze,"Taiwan, Province of China"
Anacardiaceae,Toxicodendron sylvestre,(Siebold & Zucc.) Kuntze,"Taiwan, Province of China"
Annonaceae,Goniothalamus amuyon,(Blanco) Merr.,"Taiwan, Province of China"
Annonaceae,Monoon liukiuense,(Hatus.) B.Xue & R.M.K.Saunders,"Taiwan, Province of China"
Apocynaceae,Cerbera manghas,L.,"Taiwan, Province of China"
Apocynaceae,Holarrhena pubescens,Wall. ex G.Don,"Taiwan, Province of China"
Apocynaceae,Rauvolfia verticillata,(Lour.) Baill.,"Taiwan, Province of China"
Aquifoliaceae,Ilex arisanensis,Yamam.,"Taiwan, Province of China"
Aquifoliaceae,Ilex bioritsensis,Hayata,"Taiwan, Province of China"
Aquifoliaceae,Ilex chinensis,Sims,"Taiwan, Province of China"
Aquifoliaceae,Ilex cochinchinensis,(Lour.) Loes.,"Taiwan, Province of China"
Aquifoliaceae,Ilex ficoidea,Hemsl.,"Taiwan, Province of China"
Aquifoliaceae,Ilex formosana,Maxim.,"Taiwan, Province of China"
Aquifoliaceae,Ilex goshiensis,Hayata,"Taiwan, Province of China"
Aquifoliaceae,Ilex hayatana,Loes.,"Taiwan, Province of China"
Aquifoliaceae,Ilex integra,Thunb.,"Taiwan, Province of China"
Aquifoliaceae,Ilex kusanoi,Hayata,"Taiwan, Province of China"
Aquifoliaceae,Ilex lonicerifolia,Hayata,"Taiwan, Province of China"
Aquifoliaceae,Ilex maximowicziana,Loes.,"Taiwan, Province of China"
Aquifoliaceae,Ilex micrococca,Maxim.,"Taiwan, Province of China"
Aquifoliaceae,Ilex pedunculosa,Miq.,"Taiwan, Province of China"
Aquifoliaceae,Ilex pubescens,Hook. & Arn.,"Taiwan, Province of China"
Aquifoliaceae,Ilex rarasanensis,Sasaki,"Taiwan, Province of China"
Aquifoliaceae,Ilex rotunda,Thunb.,"Taiwan, Province of China"
Aquifoliaceae,Ilex sugerokii,Maxim.,"Taiwan, Province of China"
Aquifoliaceae,Ilex suzukii,S.Y. Hu,"Taiwan, Province of China"
Aquifoliaceae,Ilex triflora,Blume,"Taiwan, Province of China"
Aquifoliaceae,Ilex tugitakayamensis,Sasaki,"Taiwan, Province of China"
Aquifoliaceae,Ilex uraiensis,Yamam.,"Taiwan, Province of China"
Aquifoliaceae,Ilex wilsonii,Loes.,"Taiwan, Province of China"
Aquifoliaceae,Ilex yunnanensis,Franch.,"Taiwan, Province of China"
Araliaceae,Aralia bipinnata,Blanco,"Taiwan, Province of China"
Araliaceae,Aralia elata,(Miq.) Seem.,"Taiwan, Province of China"
Araliaceae,Dendropanax dentiger,(Harms) Merr.,"Taiwan, Province of China"
Araliaceae,Dendropanax trifidus,(Thunb.) Makino ex H.Hara,"Taiwan, Province of China"
Araliaceae,Fatsia polycarpa,Hayata,"Taiwan, Province of China"
Araliaceae,Heptapleurum taiwanianum,(Nakai) G.M.Plunkett & Lowry,"Taiwan, Province of China"
Araliaceae,Osmoxylon pectinatum,(Merr.) Philipson,"Taiwan, Province of China"
Araliaceae,Sinopanax formosanus,(Hayata) H.L.Li,"Taiwan, Province of China"
Araliaceae,Tetrapanax papyrifer,(Hook.) K.Koch,"Taiwan, Province of China"
Arecaceae,Arenga engleri,Becc.,"Taiwan, Province of China"
Arecaceae,Livistona chinensis,(Jacq.) R.Br. ex Mart.,"Taiwan, Province of China"
Arecaceae,Nypa fruticans,Wurmb,"Taiwan, Province of China"
Arecaceae,Phoenix loureiroi,Kunth,"Taiwan, Province of China"
Arecaceae,Pinanga tashiroi,Hayata,"Taiwan, Province of China"
Asteraceae,Blumea balsamifera,DC.,"Taiwan, Province of China"
Asteraceae,Senecio scandens,Buch.-Ham. ex D.Don,"Taiwan, Province of China"
Berberidaceae,Mahonia oiwakensis,Hayata,"Taiwan, Province of China"
Betulaceae,Alnus formosana,(Burkill) Makino,"Taiwan, Province of China"
Betulaceae,Alnus henryi,C.K.Schneid.,"Taiwan, Province of China"
Betulaceae,Carpinus hebestroma,Yamam.,"Taiwan, Province of China"
Betulaceae,Carpinus kawakamii,Hayata,"Taiwan, Province of China"
Betulaceae,Carpinus rankanensis,Hayata,"Taiwan, Province of China"
