family,taxon,author,native to
Amaranthaceae,Haloxylon persicum,Bunge,Tajikistan
Amaranthaceae,Xylosalsola paletzkiana,(Litv.) Akhani & Roalson,Tajikistan
Amaranthaceae,Xylosalsola richteri,(Moq.) Akhani & Roalson,Tajikistan
Anacardiaceae,Pistacia khinjuk,Stocks,Tajikistan
Anacardiaceae,Rhus coriaria,L.,Tajikistan
Betulaceae,Betula falcata,V.N.Vassil.,Tajikistan
Betulaceae,Betula potamophila,V.N.Vassil.,Tajikistan
Betulaceae,Betula tianschanica,Rupr.,Tajikistan
Betulaceae,Betula utilis,D.Don,Tajikistan
Cannabaceae,Celtis caucasica,Willd.,Tajikistan
Caprifoliaceae,Lonicera nummulariifolia,Jaub. & Spach,Tajikistan
Caprifoliaceae,Zabelia corymbosa,(Regel & Schmalh.) Makino,Tajikistan
Cupressaceae,Juniperus communis,L.,Tajikistan
Cupressaceae,Juniperus excelsa,M.Bieb.,Tajikistan
Cupressaceae,Juniperus pseudosabina,Fisch. & C.A.Mey.,Tajikistan
Cupressaceae,Juniperus semiglobosa,Regel,Tajikistan
Cupressaceae,Juniperus seravschanica,Kom.,Tajikistan
Cupressaceae,Platycladus orientalis,(L.) Franco,Tajikistan
Ebenaceae,Diospyros lotus,L.,Tajikistan
Elaeagnaceae,Elaeagnus angustifolia,L.,Tajikistan
Elaeagnaceae,Hippophae rhamnoides,L.,Tajikistan
Fabaceae,Cercis griffithii,Boiss.,Tajikistan
Fabaceae,Prosopis farcta,(Sol.) J.F.Macbr.,Tajikistan
Juglandaceae,Juglans regia,L.,Tajikistan
Lythraceae,Punica granatum,L.,Tajikistan
Moraceae,Ficus carica,L.,Tajikistan
Oleaceae,Chrysojasminum humile,(L.) Banfi,Tajikistan
Oleaceae,Fraxinus sogdiana,Bunge,Tajikistan
Platanaceae,Platanus orientalis,L.,Tajikistan
Putranjivaceae,Putranjiva roxburghii,Wall.,Tajikistan
Rhamnaceae,Rhamnus cathartica,L.,Tajikistan
Rosaceae,Crataegus azarolus,L.,Tajikistan
Rosaceae,Crataegus chlorocarpa,Lenné & K.Koch,Tajikistan
Rosaceae,Crataegus necopinata,Pojark.,Tajikistan
Rosaceae,Crataegus pontica,K.Koch,Tajikistan
Rosaceae,Crataegus songarica,K. Koch,Tajikistan
Rosaceae,Crataegus turkestanica,Pojark.,Tajikistan
Rosaceae,Cydonia oblonga,Mill.,Tajikistan
Rosaceae,Malus domestica,(Suckow) Borkh.,Tajikistan
Rosaceae,Malus sieversii,(Ledeb.) M.Roem.,Tajikistan
Rosaceae,Prunus bucharica,(Korsh) Hand.-Mazz.,Tajikistan
Rosaceae,Prunus cerasifera,Ehrh.,Tajikistan
Rosaceae,Prunus ferganensis,(Kost. & Rjab.) Y.Y.Yao ,Tajikistan
Rosaceae,Prunus mahaleb,L.,Tajikistan
Rosaceae,Prunus tadzhikistanica,V.I.Zapryagaeva        ,Tajikistan
Rosaceae,Prunus ulmifolia,Franch.,Tajikistan
Rosaceae,Pyrus cajon,Zaprjagaeva        ,Tajikistan
Rosaceae,Pyrus communis,L.,Tajikistan
Rosaceae,Pyrus korshinskyi,Litv.        ,Tajikistan
Rosaceae,Pyrus regelii,Rehder,Tajikistan
Rosaceae,Pyrus tadshikistanica,Zaprjagaeva        ,Tajikistan
Rosaceae,Pyrus turcomanica,Maleev,Tajikistan
Rosaceae,Sorbus tianschanica,Rupr.,Tajikistan
Rosaceae,Sorbus turkestanica,(Franch.) Hedl.,Tajikistan
Salicaceae,Populus euphratica,Olivier,Tajikistan
Salicaceae,Populus macrocarpa,(Schrenk) Pavlov & Lipsch.,Tajikistan
Salicaceae,Populus pruinosa,Schrenk,Tajikistan
Salicaceae,Populus talassica,Kom.,Tajikistan
Salicaceae,Salix acutifolia,Willd.,Tajikistan
Salicaceae,Salix alba,L.,Tajikistan
Salicaceae,Salix caprea,L.,Tajikistan
Salicaceae,Salix capusii,Franch.,Tajikistan
Salicaceae,Salix excelsa,S.G.Gmel.,Tajikistan
Salicaceae,Salix niedzwieckii,Goerz,Tajikistan
Salicaceae,Salix pycnostachya,Andersson,Tajikistan
Salicaceae,Salix turanica,Nasarow,Tajikistan
Salicaceae,Salix viminalis,L.,Tajikistan
Salicaceae,Salix wilhelmsiana,M.Bieb.,Tajikistan
Sapindaceae,Acer pentapomicum,J.L.Stewart,Tajikistan
Sapindaceae,Acer tataricum,L.,Tajikistan
Sapindaceae,Acer turkestanicum,Pax,Tajikistan
Tamaricaceae,Myrtama elegans,(Royle) Ovcz. & Kinzik.,Tajikistan
Tamaricaceae,Tamarix aralensis,Bunge,Tajikistan
Tamaricaceae,Tamarix arceuthoides,Bunge,Tajikistan
Tamaricaceae,Tamarix hohenackeri,Bunge,Tajikistan
Tamaricaceae,Tamarix ramosissima,Ledeb.,Tajikistan
Thymelaeaceae,Restella alberti,(Regel) Pobed.,Tajikistan
