family,taxon,author,native to
Acanthaceae,Avicennia alba,Blume,Thailand
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Thailand
Acanthaceae,Avicennia officinalis,L.,Thailand
Achariaceae,Hydnocarpus castaneus,Hook.f. & Thomson,Thailand
Achariaceae,Hydnocarpus curtisii,King,Thailand
Achariaceae,Hydnocarpus ilicifolius,King,Thailand
Achariaceae,Hydnocarpus macrocarpus,(Bedd.) Warb.,Thailand
Achariaceae,Ryparosa fasciculata,King,Thailand
Achariaceae,Ryparosa javanica,Koord. & Valeton,Thailand
Achariaceae,Scaphocalyx spathacea,Ridl.,Thailand
Actinidiaceae,Saurauia armata,Kurz,Thailand
Actinidiaceae,Saurauia napaulensis,DC.,Thailand
Actinidiaceae,Saurauia pentapetala,(Jack) Hoogland,Thailand
Actinidiaceae,Saurauia roxburghii,Wall.,Thailand
Actinidiaceae,Saurauia tristyla,DC.,Thailand
Altingiaceae,Liquidambar excelsa,(Noronha) Oken,Thailand
Altingiaceae,Liquidambar siamensis,(Craib) Ickert-Bond & J.Wen,Thailand
Anacardiaceae,Allospondias lakonensis,(Pierre) Stapf,Thailand
Anacardiaceae,Bouea oppositifolia,(Roxb.) Meisn.,Thailand
Anacardiaceae,Buchanania arborescens,(Blume) Blume,Thailand
Anacardiaceae,Buchanania glabra,Wall. ex Engl.,Thailand
Anacardiaceae,Buchanania lanzan,Spreng.,Thailand
Anacardiaceae,Buchanania reticulata,Hance,Thailand
Anacardiaceae,Buchanania sessifolia,Blume,Thailand
Anacardiaceae,Buchanania siamensis,Miq.,Thailand
Anacardiaceae,Campnosperma auriculatum,(Blume) Hook.f.,Thailand
Anacardiaceae,Choerospondias axillaris,(Roxb.) B.L.Burtt & A.W.Hill,Thailand
Anacardiaceae,Dracontomelon dao,(Blanco) Merr. & Rolfe,Thailand
Anacardiaceae,Gluta elegans,(Wall.) Kurz,Thailand
Anacardiaceae,Gluta laccifera,(Pierre) Ding Hou,Thailand
Anacardiaceae,Gluta obovata,Craib,Thailand
Anacardiaceae,Gluta renghas,L.,Thailand
Anacardiaceae,Gluta tavoyana,Hook.f.,Thailand
Anacardiaceae,Gluta usitata,(Wall.) Ding Hou,Thailand
Anacardiaceae,Gluta velutina,Blume,Thailand
Anacardiaceae,Gluta wrayi,King,Thailand
Anacardiaceae,Holigarna albicans,Hook.f.,Thailand
Anacardiaceae,Holigarna helferi,Hook.f.,Thailand
Anacardiaceae,Lannea coromandelica,(Houtt.) Merr.,Thailand
Anacardiaceae,Mangifera caloneura,Kurz,Thailand
Anacardiaceae,Mangifera camptosperma,Pierre,Thailand
Anacardiaceae,Mangifera cochinchinensis,Engl.,Thailand
Anacardiaceae,Mangifera collina,Kosterm.,Thailand
Anacardiaceae,Mangifera foetida,Lour.,Thailand
Anacardiaceae,Mangifera macrocarpa,Blume,Thailand
Anacardiaceae,Mangifera odorata,Griff.,Thailand
Anacardiaceae,Mangifera sylvatica,Roxb.,Thailand
Anacardiaceae,Parishia insignis,Hook.f.,Thailand
Anacardiaceae,Pentaspadon curtisii,(King) Corner,Thailand
Anacardiaceae,Pentaspadon velutinus,Hook.f.,Thailand
Anacardiaceae,Rhus chinensis,Mill.,Thailand
Anacardiaceae,Semecarpus cochinchinensis,Engl.,Thailand
Anacardiaceae,Semecarpus curtisii,King,Thailand
Anacardiaceae,Semecarpus densiflorus,(Merr.) Steenis,Thailand
Anacardiaceae,Semecarpus reticulatus,Lecomte,Thailand
Anacardiaceae,Spondias bipinnata,Airy Shaw & Forman,Thailand
Anacardiaceae,Spondias malayana,Kosterm.,Thailand
Anacardiaceae,Swintonia floribunda,Griff.,Thailand
Anacardiaceae,Swintonia schwenckii,Teijsm. & Binn. ex Hook.f.,Thailand
Anacardiaceae,Toxicodendron fulvum,(W. G. Craib) C.Y. Wu & T.L. Ming,Thailand
Anacardiaceae,Toxicodendron rhetsoides,(W. G. Craib) Tardieu,Thailand
Anacardiaceae,Toxicodendron succedaneum,(L.) Kuntze,Thailand
Anacardiaceae,Toxicodendron wallichii,(Hook.f.) Kuntze,Thailand
Annonaceae,Alphonsea annulata,Leerat. & Chalermglin,Thailand
Annonaceae,Alphonsea boniana,Finet & Gagnep.,Thailand
Annonaceae,Alphonsea cylindrica,King,Thailand
Annonaceae,Alphonsea gaudichaudiana,(Baill.) Finet & Gagnep.,Thailand
Annonaceae,Alphonsea isthmicola,I.M.Turner & Utteridge,Thailand
Annonaceae,Alphonsea javanica,Scheff.,Thailand
Annonaceae,Alphonsea keithii,Ridl,Thailand
Annonaceae,Alphonsea lutea,(Roxb.) Hook.f. & Thomson,Thailand
Annonaceae,Alphonsea siamensis,P.J.A.Kessler,Thailand
Annonaceae,Alphonsea tonquinensis,A.DC,Thailand
Annonaceae,Anaxagorea javanica,Blume,Thailand
Annonaceae,Anaxagorea luzonensis,A.Gray,Thailand
Annonaceae,Cananga brandisiana,(Pierre) Saff.,Thailand
Annonaceae,Cyathocalyx harmandii,(Finet & Gagnep.) R.J.Wang & R.M.K.Saunders,Thailand
Annonaceae,Dasymaschalon dasymaschalum,(Blume) I.M.Turner,Thailand
Annonaceae,Dasymaschalon filipes,(Ridl.) Bân,Thailand
Annonaceae,Dasymaschalon glaucum,Merr. & Chun,Thailand
Annonaceae,Dasymaschalon lomentaceum,Finet & Gagnep.,Thailand
Annonaceae,Dasymaschalon macrocalyx,Finet & Gagnep.,Thailand
Annonaceae,Dasymaschalon sootepense,Craib,Thailand
Annonaceae,Dasymaschalon wallichii,(Hook.f. & Thomson) Jing Wang & R.M.K.Saunders,Thailand
Annonaceae,Goniothalamus aurantiacus,R.M.K.Saunders & Chalermglin,Thailand
Annonaceae,Goniothalamus calvicarpus,Craib,Thailand
Annonaceae,Goniothalamus elegans,Ast,Thailand
Annonaceae,Goniothalamus gabriacianus,(Baill.) Ast,Thailand
Annonaceae,Goniothalamus giganteus,Hook.f. & Thomson,Thailand
Annonaceae,Goniothalamus griffithii,Hook.f. & Thomson,Thailand
Annonaceae,Goniothalamus laoticus,(Finet & Gagnep.) Bân,Thailand
