family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Timor-Leste
Achariaceae,Pangium edule,Reinw.,Timor-Leste
Anacardiaceae,Buchanania arborescens,(Blume) Blume,Timor-Leste
Anacardiaceae,Mangifera laurina,Blume,Timor-Leste
Anacardiaceae,Mangifera minor,Blume,Timor-Leste
Anacardiaceae,Mangifera timorensis,Blume,Timor-Leste
Anacardiaceae,Pleiogynium timoriense,(DC.) Leenh.,Timor-Leste
Anacardiaceae,Rhus taitensis,Guill.,Timor-Leste
Anacardiaceae,Semecarpus forstenii,Blume,Timor-Leste
Anacardiaceae,Semecarpus longifolius,Blume,Timor-Leste
Annonaceae,Meiogyne cylindrocarpa,(Burck) Heusden,Timor-Leste
Annonaceae,Mitrephora diversifolia,Miq.,Timor-Leste
Annonaceae,Mitrephora sundaica,Weeras. & R.M.K.Saunders,Timor-Leste
Apocynaceae,Alstonia actinophylla,(A.Cunn.) K.Schum.,Timor-Leste
Apocynaceae,Alstonia scholaris,(L.) R.Br.,Timor-Leste
Apocynaceae,Alstonia spectabilis,R.Br.,Timor-Leste
Apocynaceae,Cerbera manghas,L.,Timor-Leste
Apocynaceae,Kopsia arborea,Blume,Timor-Leste
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Timor-Leste
Apocynaceae,Tabernaemontana pandacaqui,Poir.,Timor-Leste
Apocynaceae,Wrightia pubescens,R.Br.,Timor-Leste
Apocynaceae,Wrightia tinctoria,(Roxb.) R.Br.,Timor-Leste
Araliaceae,Polyscias nodosa,(Blume) Seem.,Timor-Leste
Araliaceae,Trevesia sundaica,Miq.,Timor-Leste
Arecaceae,Borassus flabellifer,L.,Timor-Leste
Arecaceae,Caryota rumphiana,Mart.,Timor-Leste
Arecaceae,Cocos nucifera,L.,Timor-Leste
Arecaceae,Corypha utan,Lam.,Timor-Leste
Bignoniaceae,Dolichandrone spathacea,(L.f.) Seem.,Timor-Leste
Bignoniaceae,Oroxylum indicum,(L.) Kurz,Timor-Leste
Boraginaceae,Cordia aspera,G.Forst.,Timor-Leste
Boraginaceae,Cordia dichotoma,G.Forst.,Timor-Leste
Boraginaceae,Ehretia acuminata,R.Br.,Timor-Leste
Burseraceae,Canarium oleosum,(Lam.) Engl.,Timor-Leste
Burseraceae,Canarium vulgare,Leenh.,Timor-Leste
Burseraceae,Garuga floribunda,Decne.,Timor-Leste
Calophyllaceae,Calophyllum inophyllum,L.,Timor-Leste
Calophyllaceae,Calophyllum soulattri,Burm.f.,Timor-Leste
Calophyllaceae,Mammea odorata,(Raf.) Kosterm.,Timor-Leste
Calophyllaceae,Mammea timorensis,Kosterm.,Timor-Leste
Cannabaceae,Aphananthe cuspidata,(Blume) Planch.,Timor-Leste
Cannabaceae,Celtis paniculata,(Endl.) Planch.,Timor-Leste
Cannabaceae,Celtis philippensis,Blanco,Timor-Leste
Cannabaceae,Celtis timorensis,Span.,Timor-Leste
Cannabaceae,Trema orientale,(L.) Blume,Timor-Leste
Capparaceae,Capparis micracantha,DC.,Timor-Leste
Casuarinaceae,Casuarina junghuhniana,Miq.,Timor-Leste
Celastraceae,Euonymus indicus,B.Heyne ex Wall.,Timor-Leste
Celastraceae,Siphonodon celastrineus,Griff.,Timor-Leste
Chrysobalanaceae,Maranthes corymbosa,Blume,Timor-Leste
Clusiaceae,Garcinia balica,Miq.,Timor-Leste
Clusiaceae,Garcinia dulcis,(Roxb.) Kurz,Timor-Leste
Combretaceae,Lumnitzera littorea,(Jack) Voigt,Timor-Leste
Combretaceae,Lumnitzera racemosa,Willd.,Timor-Leste
Combretaceae,Terminalia bellirica,(Gaertn.) Roxb.,Timor-Leste
Combretaceae,Terminalia citrina,(Gaertn.) Roxb.,Timor-Leste
Combretaceae,Terminalia microcarpa,Decne.,Timor-Leste
