family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Togo
Achariaceae,Caloncoba gilgiana,(Sprague) Gilg,Togo
Achariaceae,Caloncoba glauca,(P.Beauv.) Gilg,Togo
Achariaceae,Lindackeria dentata,(Oliv.) Gilg,Togo
Anacardiaceae,Haematostaphis barteri,Hook.f.,Togo
Anacardiaceae,Lannea acida,A.Rich.,Togo
Anacardiaceae,Lannea barteri,(Oliv.) Engl.,Togo
Anacardiaceae,Lannea microcarpa,Engl. & K.Krause,Togo
Anacardiaceae,Lannea nigritana,(Scott Elliot) Keay,Togo
Anacardiaceae,Ozoroa insignis,Delile,Togo
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Togo
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Togo
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,Togo
Anacardiaceae,Sorindeia grandifolia,Engl.,Togo
Annonaceae,Annona senegalensis,Pers.,Togo
Annonaceae,Cleistopholis patens,(Benth.) Engl. & Diels,Togo
Annonaceae,Hexalobus crispiflorus,A.Rich.,Togo
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Togo
Annonaceae,Monodora myristica,(Gaertn.) Dunal,Togo
Annonaceae,Monodora tenuifolia,Benth.,Togo
Annonaceae,Uvaria angolensis,Welw. ex Oliv.,Togo
Annonaceae,Uvaria ovata,(Vahl ex DC.) Hook.f. & Benth.,Togo
Annonaceae,Xylopia acutiflora,(Dunal) A.Rich.,Togo
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Togo
Annonaceae,Xylopia elliotii,Pierre ex Engl. & Diels,Togo
Annonaceae,Xylopia longipetala,De Wild. & T.Durand,Togo
Apiaceae,Steganotaenia araliacea,Hochst.,Togo
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,Togo
Apocynaceae,Alstonia boonei,De Wild.,Togo
Apocynaceae,Carissa spinarum,L.,Togo
Apocynaceae,Funtumia africana,(Benth.) Stapf,Togo
