family,taxon,author,native to
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Tokelau
Boraginaceae,Cordia subcordata,Lam.,Tokelau
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,Tokelau
Combretaceae,Terminalia catappa,L.,Tokelau
Lecythidaceae,Barringtonia asiatica,(L.) Kurz,Tokelau
Lythraceae,Pemphis acidula,J.R.Forst. & G.Forst.,Tokelau
Malvaceae,Hibiscus tiliaceus,L.,Tokelau
Moraceae,Ficus tinctoria,G.Forst.,Tokelau
Pandanaceae,Pandanus tectorius,Parkinson ex Du Roi,Tokelau
Rubiaceae,Guettarda speciosa,L.,Tokelau
Urticaceae,Pipturus argenteus,(G.Forst.) Wedd.,Tokelau
Urticaceae,Pipturus vitiensis,A.C.Sm.,Tokelau
