family,taxon,author,native to
Anacardiaceae,Dracontomelon vitiense,Engl.,Tonga
Anacardiaceae,Pleiogynium timoriense,(DC.) Leenh.,Tonga
Anacardiaceae,Rhus taitensis,Guill.,Tonga
Anacardiaceae,Semecarpus vitiensis,(A.Gray) Engl.,Tonga
Annonaceae,Meiogyne amicorum,(A.C.Sm.) B.Xue & R.M.K.Saunders,Tonga
Apocynaceae,Alstonia costata,(G.Forst.) R.Br.,Tonga
Apocynaceae,Cerbera manghas,L.,Tonga
Apocynaceae,Cerbera odollam,Gaertn.,Tonga
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Tonga
Apocynaceae,Ochrosia vitiensis,(Markgr.) Pichon,Tonga
Apocynaceae,Tabernaemontana pandacaqui,Poir.,Tonga
Araliaceae,Polyscias multijuga,(A.Gray) Harms,Tonga
Araliaceae,Polyscias samoensis,(A.Gray) Harms,Tonga
Arecaceae,Pritchardia thurstonii,F.Muell. & Drude,Tonga
Boraginaceae,Cordia aspera,G.Forst.,Tonga
Boraginaceae,Cordia subcordata,Lam.,Tonga
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,Tonga
Burseraceae,Canarium harveyi,Seem.,Tonga
Burseraceae,Canarium vitiense,A.Gray,Tonga
Burseraceae,Garuga floribunda,Decne.,Tonga
Calophyllaceae,Calophyllum inophyllum,L.,Tonga
Calophyllaceae,Calophyllum neoebudicum,Guillaumin,Tonga
Cannabaceae,Celtis harperi,Horne ex Baker,Tonga
Cannabaceae,Trema orientale,(L.) Blume,Tonga
Cannabaceae,Trema tomentosum,(Roxb.) H.Hara,Tonga
Capparaceae,Crateva religiosa,G.Forst.,Tonga
Cardiopteridaceae,Citronella samoensis,(A.Gray) R.A.Howard,Tonga
Casuarinaceae,Casuarina equisetifolia,L.,Tonga
Celastraceae,Gymnosporia crenata,(G.Forst.) Seem.,Tonga
Chrysobalanaceae,Atuna excelsa,(Jack) Kosterm.,Tonga
Clusiaceae,Garcinia myrtifolia,A.C.Sm.,Tonga
Clusiaceae,Garcinia pseudoguttifera,Seem.,Tonga
Combretaceae,Lumnitzera littorea,(Jack) Voigt,Tonga
Combretaceae,Terminalia catappa,L.,Tonga
Combretaceae,Terminalia litoralis,Seem.,Tonga
Cycadaceae,Cycas seemannii,A.Braun,Tonga
Ebenaceae,Diospyros foliosa,(Rich. ex A.Gray) Bakh.,Tonga
Ebenaceae,Diospyros major,(G.Forst.) Bakh.,Tonga
Ebenaceae,Diospyros samoensis,A.Gray,Tonga
Elaeocarpaceae,Elaeocarpus graeffei,Seem.,Tonga
Elaeocarpaceae,Elaeocarpus tonganus,Burkill,Tonga
Euphorbiaceae,Acalypha grandis,Benth.,Tonga
Euphorbiaceae,Claoxylon fallax,Müll.Arg.,Tonga
Euphorbiaceae,Croton microtiglium,Burkill,Tonga
Euphorbiaceae,Excoecaria agallocha,L.,Tonga
Euphorbiaceae,Homalanthus nutans,(G.Forst.) Guill.,Tonga
Euphorbiaceae,Macaranga harveyana,(Müll.Arg.) Müll.Arg.,Tonga
Euphorbiaceae,Macaranga seemannii,(Müll.Arg.) Müll.Arg.,Tonga
Euphorbiaceae,Mallotus tiliifolius,(Blume) Müll.Arg.,Tonga
Fabaceae,Acacia simplex,(Sparrm.) Pedley,Tonga
Fabaceae,Cynometra grandiflora,A.Gray,Tonga
Fabaceae,Dendrolobium umbellatum,(L.) Benth.,Tonga
Fabaceae,Erythrina fusca,Lour.,Tonga
Fabaceae,Erythrina variegata,L.,Tonga
Fabaceae,Inocarpus fagifer,(Parkinson ex F.A.Zorn) Fosberg,Tonga
Fabaceae,Intsia bijuga,(Colebr.) Kuntze,Tonga
Fabaceae,Schleinitzia insularum,(Guill.) Burkart,Tonga
Fabaceae,Serianthes melanesica,Fosberg,Tonga
Fabaceae,Sesbania coccinea,(L.f.) Poir.,Tonga
Fabaceae,Sophora tomentosa,L.,Tonga
Gentianaceae,Fagraea berteroana,A.Gray ex Benth.,Tonga
Hernandiaceae,Hernandia moerenhoutiana,Guill.,Tonga
Hernandiaceae,Hernandia nymphaeifolia,(C.Presl) Kubitzki,Tonga
Hernandiaceae,Hernandia ovigera,L.,Tonga
Lamiaceae,Premna serratifolia,L.,Tonga
Lamiaceae,Premna tahitensis,Schauer,Tonga
Lamiaceae,Vitex trifolia,L.,Tonga
Lauraceae,Cryptocarya hornei,Gillespie,Tonga
Lauraceae,Cryptocarya turbinata,Gillespie,Tonga
Lauraceae,Endiandra elaeocarpa,Gillespie,Tonga
Lauraceae,Litsea mellifera,A.C.Sm.,Tonga
Lecythidaceae,Barringtonia asiatica,(L.) Kurz,Tonga
Loganiaceae,Geniostoma rupestre,J.R.Forst. & G.Forst.,Tonga
Lythraceae,Pemphis acidula,J.R.Forst. & G.Forst.,Tonga
