family,taxon,author,native to
Acanthaceae,Aphelandra pulcherrima,(Jacq.) Kunth,Trinidad and Tobago
Acanthaceae,Avicennia germinans,(L.) L.,Trinidad and Tobago
Acanthaceae,Avicennia schaueriana,Stapf & Leechm. ex Moldenke,Trinidad and Tobago
Acanthaceae,Bravaisia integerrima,(Spreng.) Standl.,Trinidad and Tobago
Anacardiaceae,Anacardium occidentale,L.,Trinidad and Tobago
Anacardiaceae,Spondias mombin,L.,Trinidad and Tobago
Annonaceae,Anaxagorea acuminata,(Dunal) A.St.-Hil. ex A.DC.,Trinidad and Tobago
Annonaceae,Annona exsucca,DC.,Trinidad and Tobago
Annonaceae,Annona glabra,L.,Trinidad and Tobago
Annonaceae,Annona montana,Macfad.,Trinidad and Tobago
Annonaceae,Annona mucosa,Jacq.,Trinidad and Tobago
Annonaceae,Annona purpurea,Moc. & Sessé ex Dunal,Trinidad and Tobago
Annonaceae,Annona sericea,Dunal,Trinidad and Tobago
Annonaceae,Cymbopetalum brasiliense,(Vell.) Benth. ex Baill.,Trinidad and Tobago
Annonaceae,Duguetia lucida,Urb.,Trinidad and Tobago
Annonaceae,Duguetia tobagensis,(Urb.) R.E.Fr.,Trinidad and Tobago
Annonaceae,Xylopia aromatica,(Lam.) Mart.,Trinidad and Tobago
Apocynaceae,Aspidosperma cuspa,(Kunth) S.F.Blake ex Pittier,Trinidad and Tobago
Apocynaceae,Rauvolfia biauriculata,Müll.Arg.,Trinidad and Tobago
Apocynaceae,Rauvolfia ligustrina,Roem. & Schult.,Trinidad and Tobago
Apocynaceae,Rauvolfia nitida,Jacq.,Trinidad and Tobago
Apocynaceae,Rauvolfia tetraphylla,L.,Trinidad and Tobago
Apocynaceae,Rauvolfia viridis,Roem. & Schult.,Trinidad and Tobago
Apocynaceae,Tabernaemontana attenuata,(Miers) Urb.,Trinidad and Tobago
Apocynaceae,Tabernaemontana citrifolia,L.,Trinidad and Tobago
Apocynaceae,Tabernaemontana undulata,Vahl,Trinidad and Tobago
Aquifoliaceae,Ilex arimensis,(Loes.) Britton ex R.O.Williams,Trinidad and Tobago
Aquifoliaceae,Ilex dioica,(Vahl) Griseb.,Trinidad and Tobago
Aquifoliaceae,Ilex guianensis,(Aubl.) Kuntze,Trinidad and Tobago
Aquifoliaceae,Ilex martiniana,D.Don,Trinidad and Tobago
Aquifoliaceae,Ilex sideroxyloides,(Sw.) Griseb.,Trinidad and Tobago
Araliaceae,Dendropanax alaris,(Schltdl.) Decne. & Planch.,Trinidad and Tobago
Araliaceae,Didymopanax morototoni,(Aubl.) Decne. & Planch.,Trinidad and Tobago
Araliaceae,Oreopanax capitatus,(Jacq.) Decne. & Planch.,Trinidad and Tobago
Araliaceae,Sciodaphyllum glabratum,"(Kunth) Lowry, G.M.Plunkett & M.M.Mora",Trinidad and Tobago
Arecaceae,Acrocomia aculeata,(Jacq.) Lodd. ex R.Keith,Trinidad and Tobago
Arecaceae,Aiphanes horrida,(Jacq.) Burret,Trinidad and Tobago
Arecaceae,Astrocaryum tucuma,Mart.,Trinidad and Tobago
Arecaceae,Attalea butyracea,(Mutis ex L.f.) Wess.Boer,Trinidad and Tobago
Arecaceae,Attalea maripa,(Aubl.) Mart.,Trinidad and Tobago
Arecaceae,Bactris campestris,Poepp.,Trinidad and Tobago
Arecaceae,Bactris major,Jacq.,Trinidad and Tobago
Arecaceae,Bactris setulosa,H.Karst.,Trinidad and Tobago
Arecaceae,Coccothrinax barbadensis,(Lodd. ex Mart.) Becc.,Trinidad and Tobago
Arecaceae,Desmoncus polyacanthos,Mart.,Trinidad and Tobago
Arecaceae,Euterpe broadwayi,Becc. ex Broadway,Trinidad and Tobago
Arecaceae,Euterpe oleracea,Mart.,Trinidad and Tobago
Arecaceae,Euterpe precatoria,Mart.,Trinidad and Tobago
Arecaceae,Geonoma pinnatifrons,Willd.,Trinidad and Tobago
Arecaceae,Manicaria saccifera,Gaertn.,Trinidad and Tobago
Arecaceae,Mauritia flexuosa,L.f.,Trinidad and Tobago
Arecaceae,Oenocarpus bataua,Mart.,Trinidad and Tobago
Arecaceae,Prestoea acuminata,(Willd.) H.E.Moore,Trinidad and Tobago
Arecaceae,Prestoea pubigera,(Griseb. & H.Wendl.) Hook.f.,Trinidad and Tobago
Arecaceae,Roystonea oleracea,(Jacq.) O.F.Cook,Trinidad and Tobago
Arecaceae,Roystonea regia,(Kunth) O.F.Cook,Trinidad and Tobago
Arecaceae,Sabal mauritiiformis,(H.Karst.) Griseb. & H.Wendl.,Trinidad and Tobago
Asteraceae,Piptocoma acuminata,(Kunth) Pruski,Trinidad and Tobago
Asteraceae,Piptocoma milleri,(J.R.Johnst.) Pruski,Trinidad and Tobago
Bignoniaceae,Handroanthus capitatus,(Bureau & K.Schum.) Mattos,Trinidad and Tobago
Bignoniaceae,Handroanthus chrysanthus,(Jacq.) S.O.Grose,Trinidad and Tobago
Bignoniaceae,Handroanthus ochraceus,(Cham.) Mattos,Trinidad and Tobago
Bignoniaceae,Handroanthus serratifolius,(Vahl) S.O.Grose,Trinidad and Tobago
Bignoniaceae,Tabebuia heterophylla,(DC.) Britton,Trinidad and Tobago
Bignoniaceae,Tabebuia stenocalyx,Sprague & Stapf,Trinidad and Tobago
Bignoniaceae,Tecoma stans,(L.) Juss. ex Kunth,Trinidad and Tobago
Boraginaceae,Bourreria succulenta,Jacq.,Trinidad and Tobago
Boraginaceae,Cordia alliodora,(Ruiz & Pav.) Oken,Trinidad and Tobago
Boraginaceae,Cordia collococca,L.,Trinidad and Tobago
Boraginaceae,Cordia dentata,Poir.,Trinidad and Tobago
Boraginaceae,Cordia laevigata,Lam.,Trinidad and Tobago
Boraginaceae,Cordia panamensis,L.Riley,Trinidad and Tobago
Boraginaceae,Cordia sericicalyx,A.DC.,Trinidad and Tobago
Burseraceae,Bursera karsteniana,Engl.,Trinidad and Tobago
Burseraceae,Bursera simaruba,(L.) Sarg.,Trinidad and Tobago
Burseraceae,Dacryodes belemensis,Cuatrec.,Trinidad and Tobago
Burseraceae,Protium guianense,(Aubl.) Marchand,Trinidad and Tobago
Burseraceae,Protium heptaphyllum,(Aubl.) Marchand,Trinidad and Tobago
Cactaceae,Cereus hexagonus,(L.) Mill.,Trinidad and Tobago
Cactaceae,Consolea rubescens,(Salm-Dyck ex DC.) Lem.,Trinidad and Tobago
Cactaceae,Pilosocereus royenii,(L.) Byles & G.D.Rowley,Trinidad and Tobago
Cactaceae,Stenocereus griseus,(Haw.) Buxb.,Trinidad and Tobago
Calophyllaceae,Calophyllum brasiliense,Cambess.,Trinidad and Tobago
Calophyllaceae,Mammea americana,L.,Trinidad and Tobago
Calophyllaceae,Marila grandiflora,Griseb.,Trinidad and Tobago
Cannabaceae,Celtis iguanaea,(Jacq.) Sarg.,Trinidad and Tobago
Cannabaceae,Trema micranthum,(L.) Blume,Trinidad and Tobago
Capparaceae,Capparidastrum frondosum,(Jacq.) Cornejo & Iltis,Trinidad and Tobago
Capparaceae,Crateva tapia,L.,Trinidad and Tobago
Capparaceae,Cynophalla flexuosa,(L.) J.Presl,Trinidad and Tobago
Capparaceae,Cynophalla hastata,(Jacq.) J.Presl,Trinidad and Tobago
Capparaceae,Cynophalla verrucosa,(Jacq.) J.Presl,Trinidad and Tobago
Capparaceae,Monilicarpa tenuisiliqua,(Jacq.) Cornejo & Iltis,Trinidad and Tobago
Capparaceae,Morisonia americana,L.,Trinidad and Tobago
Capparaceae,Quadrella cynophallophora,(L.) Hutch.,Trinidad and Tobago
Capparaceae,Quadrella odoratissima,(Jacq.) Hutch.,Trinidad and Tobago
Celastraceae,Cheiloclinium cognatum,(Miers) A.C.Sm.,Trinidad and Tobago
Celastraceae,Elaeodendron xylocarpum,(Vent.) DC.,Trinidad and Tobago
Celastraceae,Gyminda latifolia,(Sw.) Urb.,Trinidad and Tobago
Celastraceae,Hylenaea comosa,(Sw.) Miers,Trinidad and Tobago
Celastraceae,Monteverdia monticola,(Sandwith) Biral,Trinidad and Tobago
Celastraceae,Monteverdia reflexa,(Urb.) Biral,Trinidad and Tobago
Celastraceae,Monteverdia sieberiana,(Krug. & Urb.) Biral,Trinidad and Tobago
Celastraceae,Peritassa laevigata,(Hoffmanns. ex Link) A.C.Sm.,Trinidad and Tobago
Celastraceae,Prionostemma aspera,(Lam.) Miers,Trinidad and Tobago
Celastraceae,Salacia multiflora,(Lam.) DC.,Trinidad and Tobago
Celastraceae,Schaefferia frutescens,Jacq.,Trinidad and Tobago
Chrysobalanaceae,Chrysobalanus icaco,L.,Trinidad and Tobago
Chrysobalanaceae,Hirtella paniculata,Sw.,Trinidad and Tobago
Chrysobalanaceae,Hirtella racemosa,Lam.,Trinidad and Tobago
Chrysobalanaceae,Hirtella silicea,Griseb.,Trinidad and Tobago
Chrysobalanaceae,Hirtella triandra,Sw.,Trinidad and Tobago
Chrysobalanaceae,Hymenopus heteromorphus,(Benth.) Sothers & Prance,Trinidad and Tobago
Chrysobalanaceae,Leptobalanus apetalus,(E.Mey.) Sothers & Prance,Trinidad and Tobago
Chrysobalanaceae,Licania cruegeriana,Urb.,Trinidad and Tobago
Chrysobalanaceae,Licania membranacea,Sagot ex Laness.,Trinidad and Tobago
Chrysobalanaceae,Licania ternatensis,Hook.f. ex Duss,Trinidad and Tobago
Chrysobalanaceae,Moquilea leucosepala,(Griseb.) R.O.Williams,Trinidad and Tobago
Chrysobalanaceae,Moquilea pyrifolia,(Griseb.) R.O.Williams,Trinidad and Tobago
Chrysobalanaceae,Parinari campestris,Aubl.,Trinidad and Tobago
Clethraceae,Clethra lanata,M.Martens & Galeotti,Trinidad and Tobago
Clusiaceae,Clusia aripoensis,Britton,Trinidad and Tobago
Clusiaceae,Clusia flavida,(Benth.) Pipoly,Trinidad and Tobago
Clusiaceae,Clusia intertexta,Britton,Trinidad and Tobago
Clusiaceae,Clusia major,L.,Trinidad and Tobago
Clusiaceae,Clusia minor,L.,Trinidad and Tobago
Clusiaceae,Clusia nemorosa,G.Mey.,Trinidad and Tobago
Clusiaceae,Clusia palmicida,Rich. ex Planch. & Triana,Trinidad and Tobago
Clusiaceae,Clusia rosea,Jacq.,Trinidad and Tobago
Clusiaceae,Clusia tocuchensis,Britton,Trinidad and Tobago
Clusiaceae,Garcinia humilis,(Vahl) C.D.Adams,Trinidad and Tobago
Clusiaceae,Garcinia madruno,(Kunth) Hammel,Trinidad and Tobago
Clusiaceae,Symphonia globulifera,L.f.,Trinidad and Tobago
Clusiaceae,Tovomita turbinata,Planch. & Triana,Trinidad and Tobago
Combretaceae,Combretum cacoucia,Exell ex Sandwith,Trinidad and Tobago
Combretaceae,Combretum frangulifolium,Kunth,Trinidad and Tobago
Combretaceae,Combretum laxum,Jacq.,Trinidad and Tobago
Combretaceae,Conocarpus erectus,L.,Trinidad and Tobago
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,Trinidad and Tobago
Combretaceae,Terminalia amazonia,(J.F.Gmel.) Exell,Trinidad and Tobago
Combretaceae,Terminalia tetraphylla,(Aubl.) Gere & Boatwr.,Trinidad and Tobago
Connaraceae,Rourea surinamensis,Miq.,Trinidad and Tobago
Cunoniaceae,Weinmannia pinnata,L.,Trinidad and Tobago
Cyrillaceae,Cyrilla racemiflora,L.,Trinidad and Tobago
Dilleniaceae,Curatella americana,L.,Trinidad and Tobago
Ebenaceae,Diospyros cayennensis,A.DC.,Trinidad and Tobago
Ebenaceae,Diospyros inconstans,Jacq.,Trinidad and Tobago
Elaeocarpaceae,Sloanea caribaea,Krug & Urb. ex Duss,Trinidad and Tobago
Elaeocarpaceae,Sloanea laurifolia,(Willd.) Benth.,Trinidad and Tobago
Elaeocarpaceae,Sloanea trichosticha,R.O. Williams & Sandwith,Trinidad and Tobago
Elaeocarpaceae,Sloanea trinitensis,Sandwith,Trinidad and Tobago
Ericaceae,Vaccinium latifolium,(Griseb.) Benth. & Hook.f. ex B.D.Jacks.,Trinidad and Tobago
Erythroxylaceae,Erythroxylum amazonicum,Peyr.,Trinidad and Tobago
Erythroxylaceae,Erythroxylum havanense,Jacq.,Trinidad and Tobago
Erythroxylaceae,Erythroxylum impressum,O.E.Schulz,Trinidad and Tobago
Erythroxylaceae,Erythroxylum lineolatum,DC.,Trinidad and Tobago
Erythroxylaceae,Erythroxylum mucronatum,Benth.,Trinidad and Tobago
Erythroxylaceae,Erythroxylum novogranatense,(D.Morris) Hieron.,Trinidad and Tobago
Erythroxylaceae,Erythroxylum rotundifolium,Lunan,Trinidad and Tobago
Erythroxylaceae,Erythroxylum squamatum,Sw.,Trinidad and Tobago
Euphorbiaceae,Acalypha grisebachiana,(Kuntze) Pax & K.Hoffm.,Trinidad and Tobago
Euphorbiaceae,Actinostemon caribaeus,Griseb.,Trinidad and Tobago
Euphorbiaceae,Adelia ricinella,L.,Trinidad and Tobago
Euphorbiaceae,Alchornea triplinervia,(Spreng.) Müll.Arg.,Trinidad and Tobago
Euphorbiaceae,Alchorneopsis floribunda,(Benth.) Müll.Arg.,Trinidad and Tobago
Euphorbiaceae,Croton aripoensis,Philcox,Trinidad and Tobago
Euphorbiaceae,Croton corylifolius,Lam.,Trinidad and Tobago
