family,taxon,author,native to
Anacardiaceae,Pistacia atlantica,Desf.,Tunisia
Anacardiaceae,Pistacia lentiscus,L.,Tunisia
Anacardiaceae,Pistacia terebinthus,L.,Tunisia
Anacardiaceae,Searsia tripartita,(Ucria) Moffett,Tunisia
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Tunisia
Aquifoliaceae,Ilex aquifolium,L.,Tunisia
Arecaceae,Chamaerops humilis,L.,Tunisia
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Tunisia
Cannabaceae,Celtis australis,L.,Tunisia
Capparaceae,Capparis decidua,(Forssk.) Edgew.,Tunisia
Cupressaceae,Juniperus oxycedrus,L.,Tunisia
Cupressaceae,Juniperus phoenicea,L.,Tunisia
Cupressaceae,Juniperus turbinata,Guss.,Tunisia
Cupressaceae,Tetraclinis articulata,(Vahl) Mast.,Tunisia
Ericaceae,Arbutus unedo,L.,Tunisia
Ericaceae,Erica arborea,L.,Tunisia
Euphorbiaceae,Euphorbia dendroides,L.,Tunisia
Fabaceae,Anagyris foetida,L.,Tunisia
Fabaceae,Ceratonia siliqua,L.,Tunisia
Fabaceae,Prosopis farcta,(Sol.) J.F.Macbr.,Tunisia
Fabaceae,Vachellia tortilis,(Forssk.) Galasso & Banfi,Tunisia
Fagaceae,Castanea sativa,Mill.,Tunisia
Fagaceae,Quercus afares,Pomel,Tunisia
Fagaceae,Quercus canariensis,Willd.,Tunisia
Fagaceae,Quercus coccifera,L.,Tunisia
Fagaceae,Quercus ilex,L.,Tunisia
Fagaceae,Quercus pseudococcifera,Desf.,Tunisia
Fagaceae,Quercus rotundifolia,Lam.,Tunisia
Fagaceae,Quercus suber,L.,Tunisia
Lamiaceae,Vitex agnus-castus,L.,Tunisia
Lauraceae,Laurus nobilis,L.,Tunisia
Moraceae,Ficus carica,L.,Tunisia
Myrtaceae,Myrtus communis,L.,Tunisia
Oleaceae,Fraxinus angustifolia,Vahl,Tunisia
Oleaceae,Olea europaea,L.,Tunisia
Oleaceae,Phillyrea latifolia,L.,Tunisia
Pinaceae,Pinus halepensis,Mill.,Tunisia
Pinaceae,Pinus pinaster,Aiton,Tunisia
Polygonaceae,Calligonum azel,Maire,Tunisia
Rhamnaceae,Frangula alnus,Mill.,Tunisia
Rhamnaceae,Rhamnus alaternus,L.,Tunisia
Rosaceae,Crataegus azarolus,L.,Tunisia
Rosaceae,Crataegus monogyna,Jacq.,Tunisia
Rosaceae,Prunus prostrata,Labill.,Tunisia
Rosaceae,Sorbus aria,(L.) Crantz,Tunisia
Salicaceae,Populus alba,L.,Tunisia
Salicaceae,Populus nigra,L.,Tunisia
Salicaceae,Salix atrocinerea,Brot.,Tunisia
Salicaceae,Salix cinerea,L.,Tunisia
Salicaceae,Salix pedicellata,Desf.,Tunisia
Salicaceae,Salix purpurea,L.,Tunisia
Salicaceae,Salix triandra,L.,Tunisia
Tamaricaceae,Tamarix africana,Poir.,Tunisia
Tamaricaceae,Tamarix amplexicaulis,Ehrenb.,Tunisia
Tamaricaceae,Tamarix aphylla,(L.) H.Karst.,Tunisia
Tamaricaceae,Tamarix boveana,Bunge,Tunisia
Tamaricaceae,Tamarix gallica,L.,Tunisia
Ulmaceae,Ulmus minor,Mill.,Tunisia
Viburnaceae,Sambucus nigra,L.,Tunisia
Viburnaceae,Viburnum tinus,L.,Tunisia
