family,taxon,author,native to
Amaranthaceae,Haloxylon persicum,Bunge,Turkmenistan
Amaranthaceae,Xylosalsola paletzkiana,(Litv.) Akhani & Roalson,Turkmenistan
Amaranthaceae,Xylosalsola richteri,(Moq.) Akhani & Roalson,Turkmenistan
Anacardiaceae,Pistacia vera,L.,Turkmenistan
Cannabaceae,Celtis caucasica,Willd.,Turkmenistan
Caprifoliaceae,Lonicera nummulariifolia,Jaub. & Spach,Turkmenistan
Celastraceae,Euonymus europaeus,L.,Turkmenistan
Cupressaceae,Juniperus communis,L.,Turkmenistan
Cupressaceae,Juniperus excelsa,M.Bieb.,Turkmenistan
Cupressaceae,Juniperus foetidissima,Willd.,Turkmenistan
Cupressaceae,Juniperus seravschanica,Kom.,Turkmenistan
Elaeagnaceae,Elaeagnus angustifolia,L.,Turkmenistan
Elaeagnaceae,Hippophae rhamnoides,L.,Turkmenistan
Fabaceae,Ammodendron conollyi,Bunge ex Boiss.,Turkmenistan
Fabaceae,Cercis griffithii,Boiss.,Turkmenistan
Fabaceae,Eremosparton flaccidum,Litv.,Turkmenistan
Fabaceae,Prosopis farcta,(Sol.) J.F.Macbr.,Turkmenistan
Grossulariaceae,Ribes melananthum,Boiss. & Hohen. ex Boiss.,Turkmenistan
Juglandaceae,Juglans regia,L.,Turkmenistan
Lamiaceae,Vitex agnus-castus,L.,Turkmenistan
Lythraceae,Punica granatum,L.,Turkmenistan
Moraceae,Ficus carica,L.,Turkmenistan
Oleaceae,Fraxinus angustifolia,Vahl,Turkmenistan
Polygonaceae,Calligonum arborescens,Litv.,Turkmenistan
Polygonaceae,Calligonum eriopodum,Bunge,Turkmenistan
Rosaceae,Crataegus azarolus,L.,Turkmenistan
Rosaceae,Crataegus chlorocarpa,Lenné & K.Koch,Turkmenistan
Rosaceae,Crataegus pentagyna,Waldst. & Kit. ex Willd.,Turkmenistan
Rosaceae,Crataegus pontica,K.Koch,Turkmenistan
Rosaceae,Crataegus turkestanica,Pojark.,Turkmenistan
Rosaceae,Mespilus germanica,L.,Turkmenistan
Rosaceae,Prunus bucharica,(Korsh) Hand.-Mazz.,Turkmenistan
Rosaceae,Prunus cerasifera,Ehrh.,Turkmenistan
Rosaceae,Prunus mahaleb,L.,Turkmenistan
Rosaceae,Prunus microcarpa,C.A.Mey.,Turkmenistan
Rosaceae,Pyrus boissieriana,Buhse,Turkmenistan
Rosaceae,Pyrus regelii,Rehder,Turkmenistan
Rosaceae,Pyrus turcomanica,Maleev,Turkmenistan
Rosaceae,Sorbus turkestanica,(Franch.) Hedl.,Turkmenistan
Salicaceae,Populus euphratica,Olivier,Turkmenistan
Salicaceae,Populus pruinosa,Schrenk,Turkmenistan
Salicaceae,Salix acmophylla,Boiss.,Turkmenistan
Salicaceae,Salix alba,L.,Turkmenistan
Salicaceae,Salix caprea,L.,Turkmenistan
Salicaceae,Salix excelsa,S.G.Gmel.,Turkmenistan
Salicaceae,Salix michelsonii,Goerz ex Nasarow,Turkmenistan
Salicaceae,Salix songarica,Andersson,Turkmenistan
Salicaceae,Salix triandra,L.,Turkmenistan
Salicaceae,Salix viminalis,L.,Turkmenistan
Salicaceae,Salix wilhelmsiana,M.Bieb.,Turkmenistan
Sapindaceae,Acer pentapomicum,J.L.Stewart,Turkmenistan
Sapindaceae,Acer tataricum,L.,Turkmenistan
Sapindaceae,Acer turkestanicum,Pax,Turkmenistan
Tamaricaceae,Reaumuria botschantzevii,Zuckerw. & Kurbanov,Turkmenistan
Tamaricaceae,Tamarix androssowii,Litv.,Turkmenistan
Tamaricaceae,Tamarix aralensis,Bunge,Turkmenistan
Tamaricaceae,Tamarix arceuthoides,Bunge,Turkmenistan
Tamaricaceae,Tamarix brachystachys,Bunge,Turkmenistan
Tamaricaceae,Tamarix elongata,Ledeb.,Turkmenistan
Tamaricaceae,Tamarix florida,Bunge,Turkmenistan
Tamaricaceae,Tamarix hispida,Willd.,Turkmenistan
Tamaricaceae,Tamarix hohenackeri,Bunge,Turkmenistan
Tamaricaceae,Tamarix karelinii,Bunge,Turkmenistan
Tamaricaceae,Tamarix komarovii,Gorschk.,Turkmenistan
Tamaricaceae,Tamarix pycnocarpa,DC.,Turkmenistan
Tamaricaceae,Tamarix ramosissima,Ledeb.,Turkmenistan
Tamaricaceae,Tamarix szovitsiana,Bunge,Turkmenistan
Ulmaceae,Ulmus pumila,L.,Turkmenistan
