family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Turks and Caicos Islands
Anacardiaceae,Metopium toxiferum,(L.) Krug & Urb.,Turks and Caicos Islands
Annonaceae,Annona glabra,L.,Turks and Caicos Islands
Annonaceae,Annona montana,Macfad.,Turks and Caicos Islands
Annonaceae,Annona mucosa,Jacq.,Turks and Caicos Islands
Apocynaceae,Plumeria obtusa,L.,Turks and Caicos Islands
Arecaceae,Coccothrinax argentata,(Jacq.) L.H.Bailey,Turks and Caicos Islands
Arecaceae,Coccothrinax inaguensis,Read,Turks and Caicos Islands
Arecaceae,Leucothrinax morrisii,(H.Wendl.) C.Lewis & Zona,Turks and Caicos Islands
Arecaceae,Pseudophoenix sargentii,H.Wendl. ex Sarg.,Turks and Caicos Islands
Arecaceae,Roystonea regia,(Kunth) O.F.Cook,Turks and Caicos Islands
Arecaceae,Sabal palmetto,(Walter) Lodd. ex Schult. & Schult.f.,Turks and Caicos Islands
Bignoniaceae,Tabebuia bahamensis,(Northr.) Britton,Turks and Caicos Islands
Bignoniaceae,Tecoma stans,(L.) Juss. ex Kunth,Turks and Caicos Islands
Boraginaceae,Bourreria succulenta,Jacq.,Turks and Caicos Islands
Boraginaceae,Cordia sebestena,L.,Turks and Caicos Islands
Boraginaceae,Varronia bahamensis,(Urb.) Millsp.,Turks and Caicos Islands
Burseraceae,Bursera simaruba,(L.) Sarg.,Turks and Caicos Islands
Cactaceae,Consolea macracantha,(Griseb.) A.Berger,Turks and Caicos Islands
Capparaceae,Quadrella cynophallophora,(L.) Hutch.,Turks and Caicos Islands
Celastraceae,Elaeodendron xylocarpum,(Vent.) DC.,Turks and Caicos Islands
Celastraceae,Gyminda latifolia,(Sw.) Urb.,Turks and Caicos Islands
Chrysobalanaceae,Chrysobalanus icaco,L.,Turks and Caicos Islands
Clusiaceae,Clusia rosea,Jacq.,Turks and Caicos Islands
Combretaceae,Conocarpus erectus,L.,Turks and Caicos Islands
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,Turks and Caicos Islands
Combretaceae,Terminalia buceras,(L.) C.Wright,Turks and Caicos Islands
Erythroxylaceae,Erythroxylum havanense,Jacq.,Turks and Caicos Islands
Erythroxylaceae,Erythroxylum rotundifolium,Lunan,Turks and Caicos Islands
Euphorbiaceae,Argythamnia candicans,Sw.,Turks and Caicos Islands
Euphorbiaceae,Bernardia dichotoma,(Willd.) Müll.Arg.,Turks and Caicos Islands
Euphorbiaceae,Croton discolor,Willd.,Turks and Caicos Islands
Euphorbiaceae,Croton glabellus,L.,Turks and Caicos Islands
Euphorbiaceae,Euphorbia gymnonota,Urb.,Turks and Caicos Islands
Euphorbiaceae,Euphorbia petiolaris,Sims,Turks and Caicos Islands
Euphorbiaceae,Gymnanthes lucida,Sw.,Turks and Caicos Islands
Euphorbiaceae,Hippomane mancinella,L.,Turks and Caicos Islands
Fabaceae,Ateleia gummifera,(Bertero ex DC.) D.Dietr.,Turks and Caicos Islands
Fabaceae,Caesalpinia bahamensis,Lam.,Turks and Caicos Islands
Fabaceae,Guilandina bonduc,L.,Turks and Caicos Islands
Fabaceae,Mimosa bahamensis,Benth.,Turks and Caicos Islands
Fabaceae,Parkinsonia aculeata,L.,Turks and Caicos Islands
Fabaceae,Pithecellobium keyense,Britton,Turks and Caicos Islands
Fabaceae,Pithecellobium unguis-cati,(L.) Mart.,Turks and Caicos Islands
Fabaceae,Sophora tomentosa,L.,Turks and Caicos Islands
Fabaceae,Vachellia acuifera,(Benth.) Seigler & Ebinger,Turks and Caicos Islands
Fabaceae,Vachellia farnesiana,(L.) Wight & Arn.,Turks and Caicos Islands
Fabaceae,Vachellia macracantha,(Humb. & Bonpl. ex Willd.) Seigler & Ebinger,Turks and Caicos Islands
Fabaceae,Vachellia tortuosa,(L.) Seigler & Ebinger,Turks and Caicos Islands
Lauraceae,Damburneya coriacea,(Sw.) Trofimov & Rohwer,Turks and Caicos Islands
Malpighiaceae,Byrsonima lucida,(Mill.) DC.,Turks and Caicos Islands
Malvaceae,Pavonia bahamensis,Hitchc.,Turks and Caicos Islands
Meliaceae,Swietenia mahagoni,(L.) Jacq.,Turks and Caicos Islands
Moraceae,Ficus aurea,Nutt.,Turks and Caicos Islands
Moraceae,Ficus citrifolia,Mill.,Turks and Caicos Islands
Myrtaceae,Eugenia axillaris,(Sw.) Willd.,Turks and Caicos Islands
Myrtaceae,Eugenia foetida,Pers.,Turks and Caicos Islands
Myrtaceae,Eugenia rhombea,(O.Berg) Krug & Urb.,Turks and Caicos Islands
Myrtaceae,Mosiera longipes,(O.Berg) Small,Turks and Caicos Islands
Myrtaceae,Myrcianthes fragrans,(Sw.) McVaugh,Turks and Caicos Islands
Nyctaginaceae,Guapira discolor,(Spreng.) Little,Turks and Caicos Islands
Nyctaginaceae,Guapira obtusata,(Jacq.) Little,Turks and Caicos Islands
Olacaceae,Ximenia americana,L.,Turks and Caicos Islands
Oleaceae,Forestiera segregata,(Jacq.) Krug & Urb.,Turks and Caicos Islands
Phyllanthaceae,Heterosavia bahamensis,(Britton) Petra Hoffm.,Turks and Caicos Islands
Phyllanthaceae,Phyllanthus epiphyllanthus,L.,Turks and Caicos Islands
Picramniaceae,Picramnia pentandra,Sw.,Turks and Caicos Islands
Pinaceae,Pinus caribaea,Morelet,Turks and Caicos Islands
