family,taxon,author,native to
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Tuvalu
Arecaceae,Cocos nucifera,L.,Tuvalu
Boraginaceae,Cordia subcordata,Lam.,Tuvalu
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,Tuvalu
Calophyllaceae,Calophyllum inophyllum,L.,Tuvalu
Casuarinaceae,Casuarina equisetifolia,L.,Tuvalu
Combretaceae,Lumnitzera littorea,(Jack) Voigt,Tuvalu
Combretaceae,Terminalia catappa,L.,Tuvalu
Combretaceae,Terminalia samoensis,Rech.,Tuvalu
Hernandiaceae,Hernandia nymphaeifolia,(C.Presl) Kubitzki,Tuvalu
Lamiaceae,Premna serratifolia,L.,Tuvalu
Lecythidaceae,Barringtonia asiatica,(L.) Kurz,Tuvalu
Lythraceae,Pemphis acidula,J.R.Forst. & G.Forst.,Tuvalu
Lythraceae,Sonneratia alba,Sm.,Tuvalu
Malvaceae,Hibiscus tiliaceus,L.,Tuvalu
Malvaceae,Sterculia fanaiho,Setch.,Tuvalu
Malvaceae,Thespesia populnea,(L.) Sol. ex Corrêa,Tuvalu
Moraceae,Ficus prolixa,G.Forst.,Tuvalu
Moraceae,Ficus tinctoria,G.Forst.,Tuvalu
Nyctaginaceae,Pisonia grandis,R.Br.,Tuvalu
Olacaceae,Ximenia americana,L.,Tuvalu
Pandanaceae,Pandanus tectorius,Parkinson ex Du Roi,Tuvalu
Rhizophoraceae,Rhizophora stylosa,Griff.,Tuvalu
Rubiaceae,Guettarda speciosa,L.,Tuvalu
Rubiaceae,Morinda citrifolia,L.,Tuvalu
Sapindaceae,Pometia pinnata,J.R.Forst. & G.Forst.,Tuvalu
Urticaceae,Pipturus argenteus,(G.Forst.) Wedd.,Tuvalu
