family,taxon,author,native to
Altingiaceae,Liquidambar orientalis,Mill.,Türkiye
Amaranthaceae,Halostachys belangeriana,(Moq.) Botsch.,Türkiye
Anacardiaceae,Cotinus coggygria,Scop.,Türkiye
Anacardiaceae,Pistacia atlantica,Desf.,Türkiye
Anacardiaceae,Pistacia eurycarpa,Yaltirik,Türkiye
Anacardiaceae,Pistacia khinjuk,Stocks,Türkiye
Anacardiaceae,Pistacia lentiscus,L.,Türkiye
Anacardiaceae,Pistacia terebinthus,L.,Türkiye
Anacardiaceae,Rhus coriaria,L.,Türkiye
Aquifoliaceae,Ilex aquifolium,L.,Türkiye
Aquifoliaceae,Ilex colchica,Pojark.,Türkiye
Arecaceae,Phoenix theophrasti,Greuter,Türkiye
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Türkiye
Betulaceae,Alnus incana,(L.) Moench,Türkiye
Betulaceae,Alnus orientalis,Decne.,Türkiye
Betulaceae,Betula medwediewii,Regel,Türkiye
Betulaceae,Betula pendula,Roth,Türkiye
Betulaceae,Betula pubescens,Ehrh.,Türkiye
Betulaceae,Carpinus betulus,L.,Türkiye
Betulaceae,Carpinus orientalis,Mill.,Türkiye
Betulaceae,Corylus avellana,L.,Türkiye
Betulaceae,Corylus colurna,L.,Türkiye
Betulaceae,Ostrya carpinifolia,Scop.,Türkiye
Buxaceae,Buxus sempervirens,L.,Türkiye
Cannabaceae,Celtis australis,L.,Türkiye
Cannabaceae,Celtis planchoniana,K.I.Chr.,Türkiye
Caprifoliaceae,Lonicera nummulariifolia,Jaub. & Spach,Türkiye
Celastraceae,Euonymus europaeus,L.,Türkiye
Celastraceae,Euonymus latifolius,(L.) Mill.,Türkiye
Cornaceae,Cornus mas,L.,Türkiye
Cupressaceae,Cupressus sempervirens,L.,Türkiye
Cupressaceae,Juniperus communis,L.,Türkiye
Cupressaceae,Juniperus deltoides,R.P.Adams,Türkiye
Cupressaceae,Juniperus drupacea,Labill.,Türkiye
Cupressaceae,Juniperus excelsa,M.Bieb.,Türkiye
Cupressaceae,Juniperus foetidissima,Willd.,Türkiye
Cupressaceae,Juniperus oxycedrus,L.,Türkiye
Cupressaceae,Juniperus phoenicea,L.,Türkiye
Cupressaceae,Juniperus turbinata,Guss.,Türkiye
Ebenaceae,Diospyros lotus,L.,Türkiye
Elaeagnaceae,Elaeagnus angustifolia,L.,Türkiye
Elaeagnaceae,Hippophae rhamnoides,L.,Türkiye
Ericaceae,Arbutus andrachne,L.,Türkiye
Ericaceae,Arbutus unedo,L.,Türkiye
Ericaceae,Erica arborea,L.,Türkiye
Ericaceae,Rhododendron ungernii,Trautv. ex Regel,Türkiye
Euphorbiaceae,Euphorbia dendroides,L.,Türkiye
Fabaceae,Anagyris foetida,L.,Türkiye
Fabaceae,Ceratonia siliqua,L.,Türkiye
Fabaceae,Cercis siliquastrum,L.,Türkiye
Fabaceae,Prosopis farcta,(Sol.) J.F.Macbr.,Türkiye
Fagaceae,Castanea sativa,Mill.,Türkiye
Fagaceae,Fagus orientalis,Lipsky,Türkiye
Fagaceae,Fagus sylvatica,L.,Türkiye
Fagaceae,Quercus aucheri,Jaub. & Spach,Türkiye
Fagaceae,Quercus brantii,Lindl.,Türkiye
Fagaceae,Quercus cerris,L.,Türkiye
Fagaceae,Quercus coccifera,L.,Türkiye
Fagaceae,Quercus frainetto,Ten.,Türkiye
Fagaceae,Quercus hartwissiana,Steven,Türkiye
Fagaceae,Quercus ilex,L.,Türkiye
Fagaceae,Quercus infectoria,G.Olivier,Türkiye
Fagaceae,Quercus ithaburensis,Decne.,Türkiye
Fagaceae,Quercus libani,G.Olivier,Türkiye
Fagaceae,Quercus macranthera,Fisch. & C.A.Mey. ex Hohen.,Türkiye
Fagaceae,Quercus petraea,(Matt.) Liebl.,Türkiye
Fagaceae,Quercus pontica,K.Koch,Türkiye
Fagaceae,Quercus pubescens,Willd.,Türkiye
Fagaceae,Quercus robur,L.,Türkiye
Fagaceae,Quercus vulcanica,Boiss. & Heldr. ex Kotschy,Türkiye
Juglandaceae,Juglans regia,L.,Türkiye
Juglandaceae,Pterocarya fraxinifolia,(Lam.) Spach,Türkiye
Lamiaceae,Vitex agnus-castus,L.,Türkiye
Malvaceae,Tilia platyphyllos,Scop.,Türkiye
Malvaceae,Tilia tomentosa,Moench,Türkiye
Moraceae,Ficus carica,L.,Türkiye
Myrtaceae,Myrtus communis,L.,Türkiye
Oleaceae,Fraxinus angustifolia,Vahl,Türkiye
Oleaceae,Fraxinus excelsior,L.,Türkiye
Oleaceae,Fraxinus ornus,L.,Türkiye
Oleaceae,Fraxinus pallisiae,Wilmott,Türkiye
Oleaceae,Olea europaea,L.,Türkiye
Oleaceae,Phillyrea latifolia,L.,Türkiye
Pinaceae,Abies cilicica,(Antoine & Kotschy) CarriÃ¨re,Türkiye
Pinaceae,Abies nordmanniana,(Steven) Spach,Türkiye
Pinaceae,Cedrus libani,A.Rich.,Türkiye
Pinaceae,Picea orientalis,(L.) Peterm.,Türkiye
Pinaceae,Pinus brutia,Ten.,Türkiye
Pinaceae,Pinus nigra,J.F.Arnold,Türkiye
Pinaceae,Pinus sylvestris,L.,Türkiye
Platanaceae,Platanus orientalis,L.,Türkiye
Rhamnaceae,Frangula alnus,Mill.,Türkiye
Rhamnaceae,Rhamnus alaternus,L.,Türkiye
Rhamnaceae,Rhamnus alpina,L.,Türkiye
Rhamnaceae,Rhamnus cathartica,L.,Türkiye
Rhamnaceae,Rhamnus imeretina,"Booth, Petz. & Kirchn.",Türkiye
Rosaceae,Cotoneaster morulus,Pojark.,Türkiye
Rosaceae,Cotoneaster transcaucasicus,Pojark.,Türkiye
Rosaceae,Crataegus ambigua,C.A.Mey. ex A.K.Becker,Türkiye
Rosaceae,Crataegus azarolus,L.,Türkiye
Rosaceae,Crataegus heterophylloides,Pojark. ex K.I.Chr.,Türkiye
Rosaceae,Crataegus longipes,Pojark.,Türkiye
Rosaceae,Crataegus meyeri,Pojark.,Türkiye
Rosaceae,Crataegus monogyna,Jacq.,Türkiye
Rosaceae,Crataegus orientalis,Pall. ex M.Bieb.,Türkiye
Rosaceae,Crataegus pentagyna,Waldst. & Kit. ex Willd.,Türkiye
Rosaceae,Crataegus petrodavisii,DÃ¶nmez,Türkiye
Rosaceae,Crataegus pontica,K.Koch,Türkiye
Rosaceae,Crataegus pseudoheterophylla,Pojark.,Türkiye
Rosaceae,Crataegus rhipidophylla,Gand.,Türkiye
Rosaceae,Crataegus stevenii,Pojark.,Türkiye
Rosaceae,Crataegus tanacetifolia,(Poir.) Pers.,Türkiye
Rosaceae,Crataegus yaltirikii,DÃ¶nmez,Türkiye
Rosaceae,Malus florentina,(Zuccagni) C.K.Schneid.,Türkiye
Rosaceae,Malus orientalis,Uglitzk. ex Juz.,Türkiye
Rosaceae,Malus sylvestris,(L.) Mill.,Türkiye
Rosaceae,Malus trilobata,(Labill. ex Poir.) C.K.Schneid.,Türkiye
Rosaceae,Mespilus germanica,L.,Türkiye
Rosaceae,Prunus avium,(L.) L.,Türkiye
Rosaceae,Prunus cerasifera,Ehrh.,Türkiye
Rosaceae,Prunus cocomilia,Ten.,Türkiye
Rosaceae,Prunus discolor,(Spach) C. K. Schneid.,Türkiye
Rosaceae,Prunus fenzliana,Fritsch,Türkiye
Rosaceae,Prunus korshinskyi,Hand.-Mazz.,Türkiye
Rosaceae,Prunus laurocerasus,L.,Türkiye
Rosaceae,Prunus mahaleb,L.,Türkiye
Rosaceae,Prunus microcarpa,C.A.Mey.,Türkiye
Rosaceae,Prunus padus,L.,Türkiye
Rosaceae,Prunus prostrata,Labill.,Türkiye
Rosaceae,Prunus spinosa,L.,Türkiye
Rosaceae,Prunus trichamygdalus,Hand.-Mazz.,Türkiye
Rosaceae,Prunus webbii,(Spach) Vierh.,Türkiye
Rosaceae,Pyrus boissieriana,Buhse,Türkiye
Rosaceae,Pyrus communis,L.,Türkiye
Rosaceae,Pyrus elaeagrifolia,Pall.,Türkiye
Rosaceae,Pyrus hakkiarica,Browicz,Türkiye
Rosaceae,Pyrus nivalis,Jacq.,Türkiye
Rosaceae,Pyrus oxyprion,Woronow,Türkiye
Rosaceae,Pyrus salicifolia,Pall.,Türkiye
Rosaceae,Pyrus spinosa,Forssk.,Türkiye
Rosaceae,Pyrus yaltirikii,Browicz,Türkiye
Rosaceae,Sorbus caucasica,Zinserl.,Türkiye
Rosaceae,Sorbus domestica,L.        ,Türkiye
Rosaceae,Sorbus erzincanica,DÃ¶nmez,Türkiye
Rosaceae,Sorbus graeca,(Lodd. ex Spach) Kotschy,Türkiye
Rosaceae,Sorbus kusnetzovii,Zinserl.,Türkiye
Rosaceae,Sorbus luristanica,(Bornm.) SchÃ¶nb.-Tem.,Türkiye
Rosaceae,Sorbus subfusca,(Ledeb. ex Nordm.) Boiss.,Türkiye
Rosaceae,Sorbus takhtajanii,Gabrieljan,Türkiye
Rosaceae,Sorbus tamamschjanae,Gabrieljan,Türkiye
Rosaceae,Sorbus torminalis,Garsault,Türkiye
Rosaceae,Sorbus umbellata,(Desf.) Fritsch,Türkiye
Salicaceae,Populus alba,L.,Türkiye
Salicaceae,Populus euphratica,Olivier,Türkiye
Salicaceae,Populus nigra,L.,Türkiye
Salicaceae,Populus tremula,L.,Türkiye
Salicaceae,Salix acmophylla,Boiss.,Türkiye
Salicaceae,Salix aegyptiaca,L.,Türkiye
Salicaceae,Salix alba,L.,Türkiye
Salicaceae,Salix armenorossica,A.K.Skvortsov,Türkiye
Salicaceae,Salix caprea,L.,Türkiye
Salicaceae,Salix cinerea,L.,Türkiye
Salicaceae,Salix ebrusensis,Boiss.,Türkiye
Salicaceae,Salix eleagnos,Scop.,Türkiye
Salicaceae,Salix euxina,I.V.Belyaeva,Türkiye
Salicaceae,Salix excelsa,S.G.Gmel.,Türkiye
Salicaceae,Salix pentandra,L.,Türkiye
Salicaceae,Salix pentandrifolia,Sennikov,Türkiye
Salicaceae,Salix pseudodepressa,A.K.Skvortsov,Türkiye
Salicaceae,Salix pseudomedemii,E.L.Wolf,Türkiye
Salicaceae,Salix triandra,L.,Türkiye
Salicaceae,Salix viminalis,L.,Türkiye
Salicaceae,Salix wilhelmsiana,M.Bieb.,Türkiye
Sapindaceae,Acer campestre,L.,Türkiye
Sapindaceae,Acer cappadocicum,Gled.,Türkiye
