family,taxon,author,native to
Acanthaceae,Anisotes pubinervius,(T.Anderson) Heine,Uganda
Acanthaceae,Justicia maxima,(Lindau) S.Moore,Uganda
Acanthaceae,Mimulopsis arborescens,C.B.Clarke,Uganda
Achariaceae,Caloncoba crepiniana,(De Wild. & T.Durand) Gilg,Uganda
Achariaceae,Dasylepis eggelingii,J.B.Gillett,Uganda
Achariaceae,Dasylepis racemosa,Oliv.,Uganda
Achariaceae,Lindackeria bukobensis,Gilg,Uganda
Achariaceae,Lindackeria schweinfurthii,Gilg,Uganda
Achariaceae,Rawsonia lucida,Harv. & Sond.,Uganda
Anacardiaceae,Antrocaryon micraster,A.Chev. & Guillaumin,Uganda
Anacardiaceae,Lannea barteri,(Oliv.) Engl.,Uganda
Anacardiaceae,Lannea fruticosa,(Hochst. ex A.Rich.) Engl.,Uganda
Anacardiaceae,Lannea fulva,(Engl.) Engl.,Uganda
Anacardiaceae,Lannea humilis,(Oliv.) Engl.,Uganda
Anacardiaceae,Lannea schweinfurthii,Engl.,Uganda
Anacardiaceae,Lannea triphylla,(Hochst. ex A.Rich.) Engl.,Uganda
Anacardiaceae,Lannea welwitschii,(Hiern) Engl.,Uganda
Anacardiaceae,Ozoroa insignis,Delile,Uganda
Anacardiaceae,Pistacia aethiopica,Kokwaro,Uganda
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Uganda
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Uganda
Anacardiaceae,Searsia anchietae,(Ficalho & Hiern) Moffett,Uganda
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,Uganda
Anacardiaceae,Searsia longipes,(Engl.) Moffett,Uganda
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,Uganda
Anacardiaceae,Searsia pyroides,(Burch.) Moffett,Uganda
Anacardiaceae,Searsia ruspolii,(Engl.) Moffett,Uganda
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,Uganda
Anacardiaceae,Trichoscypha lucens,Oliv.,Uganda
Annonaceae,Annona senegalensis,Pers.,Uganda
Annonaceae,Artabotrys monteiroae,Oliv.,Uganda
Annonaceae,Cleistopholis patens,(Benth.) Engl. & Diels,Uganda
Annonaceae,Greenwayodendron suaveolens,(Engl. & Diels) Verdc.,Uganda
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Uganda
Annonaceae,Isolona congolana,(De Wild. & T.Durand) Engl. & Diels,Uganda
Annonaceae,Monanthotaxis buchananii,(Engl.) Verdc.,Uganda
Annonaceae,Monanthotaxis ferruginea,(Oliv.) Verdc.,Uganda
Annonaceae,Monanthotaxis parvifolia,(Oliv.) Verdc.,Uganda
Annonaceae,Monodora angolensis,Welw.,Uganda
Annonaceae,Monodora myristica,(Gaertn.) Dunal,Uganda
Annonaceae,Uvaria angolensis,Welw. ex Oliv.,Uganda
Annonaceae,Uvaria schweinfurthii,Engl. & Diels,Uganda
Annonaceae,Uvaria welwitschii,(Hiern) Engl. & Diels,Uganda
Annonaceae,Uvariodendron fuscum,(Benth.) R.E.Fries,Uganda
Annonaceae,Uvariopsis congensis,Robyns & Ghesq.,Uganda
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Uganda
Annonaceae,Xylopia nilotica,D.M.Johnson & N.A.Murray,Uganda
Annonaceae,Xylopia rubescens,Oliv.,Uganda
Annonaceae,Xylopia staudtii,Engl. & Diels,Uganda
Apiaceae,Heteromorpha arborescens,(Spreng.) Cham. & Schltdl.,Uganda
Apiaceae,Steganotaenia araliacea,Hochst.,Uganda
Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,Uganda
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,Uganda
Apocynaceae,Alstonia boonei,De Wild.,Uganda
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Uganda
Apocynaceae,Carissa bispinosa,(L.) Desf. ex Brenan,Uganda
Apocynaceae,Carissa spinarum,L.,Uganda
Apocynaceae,Funtumia africana,(Benth.) Stapf,Uganda
Apocynaceae,Funtumia elastica,(Preuss) Stapf,Uganda
Apocynaceae,Picralima nitida,(Stapf) T.Durand & H.Durand,Uganda
Apocynaceae,Pleiocarpa pycnantha,(K.Schum.) Stapf,Uganda
Apocynaceae,Rauvolfia caffra,Sond.,Uganda
Apocynaceae,Rauvolfia mannii,Stapf,Uganda
Apocynaceae,Rauvolfia vomitoria,Afzel.,Uganda
Apocynaceae,Tabernaemontana odoratissima,(Stapf) Leeuwenb.,Uganda
Apocynaceae,Tabernaemontana pachysiphon,Stapf,Uganda
Apocynaceae,Tabernaemontana stapfiana,Britten,Uganda
Apocynaceae,Tabernaemontana ventricosa,Hochst. ex A.DC.,Uganda
Apocynaceae,Voacanga africana,Stapf ex Scott Elliot,Uganda
Apocynaceae,Voacanga thouarsii,Roem. & Schult.,Uganda
Aquifoliaceae,Ilex mitis,(L.) Radlk.,Uganda
Araliaceae,Astropanax abyssinicus,(Hochst. ex A.Rich.) Seem.,Uganda
Araliaceae,Astropanax goetzenii,"(Harms) Lowry, G.M.Plunkett, Gostel & Frodin",Uganda
Araliaceae,Astropanax polysciadius,"(Harms) Lowry, G.M.Plunkett, Gostel & Frodin",Uganda
Araliaceae,Astropanax urostachyus,"(Harms) Lowry, G.M.Plunkett, Gostel & Frodin",Uganda
Araliaceae,Astropanax volkensii,"(Harms) Lowry, G.M.Plunkett, Gostel & Frodin",Uganda
Araliaceae,Cussonia arborea,Hochst. ex A.Rich.,Uganda
Araliaceae,Cussonia holstii,Harms ex Engl.,Uganda
Araliaceae,Cussonia spicata,Thunb.,Uganda
Araliaceae,Polyscias fulva,(Hiern) Harms,Uganda
Arecaceae,Borassus aethiopum,Mart.,Uganda
Arecaceae,Elaeis guineensis,Jacq.,Uganda
Arecaceae,Phoenix reclinata,Jacq.,Uganda
Arecaceae,Raphia farinifera,(Gaertn.) Hyl.,Uganda
Arecaceae,Raphia monbuttorum,Drude,Uganda
Asparagaceae,Dracaena afromontana,Mildbr.,Uganda
Asparagaceae,Dracaena ellenbeckiana,Engl.,Uganda
Asparagaceae,Dracaena fragrans,(L.) Ker Gawl.,Uganda
Asparagaceae,Dracaena steudneri,Engl.,Uganda
Asphodelaceae,Aloe volkensii,Engl.,Uganda
Asteraceae,Baccharoides calvoana,"(Hook.f.) Isawumi, El-Ghazaly & B.Nord.",Uganda
Asteraceae,Brachylaena huillensis,O.Hoffm.,Uganda
Asteraceae,Conyza vernonioides,(Sch.Bip. ex A.Rich.) Wild,Uganda
Asteraceae,Dendrosenecio adnivalis,(Stapf) E.B.Knox,Uganda
Asteraceae,Dendrosenecio elgonensis,(T.C.E.Fr.) E.B.Knox,Uganda
Asteraceae,Dendrosenecio erici-rosenii,(R.E.Fr. & T.C.E.Fr.) E.B.Knox,Uganda
Asteraceae,Gymnanthemum amygdalinum,(Delile) Sch.Bip.,Uganda
Asteraceae,Gymnanthemum auriculiferum,(Hiern) Isawumi,Uganda
Asteraceae,Gymnanthemum coloratum,(Willd.) H.Rob. & B.Kahn,Uganda
Asteraceae,Gymnanthemum myrianthum,(Hook.f.) H.Rob.,Uganda
Asteraceae,Hoffmannanthus abbotianus,"(O.Hoffm.) H.Rob., S.C.Keeley & Skvarla",Uganda
Asteraceae,Solanecio mannii,(Hook.f.) C.Jeffrey,Uganda
Asteraceae,Vernonia hochstetteri,Sch.Bip. ex Walp.,Uganda
Bignoniaceae,Kigelia africana,(Lam.) Benth.,Uganda
Bignoniaceae,Markhamia lutea,(Benth.) K.Schum.,Uganda
Bignoniaceae,Spathodea campanulata,P.Beauv.,Uganda
Bignoniaceae,Stereospermum kunthianum,Cham.,Uganda
Boraginaceae,Cordia africana,Lam.,Uganda
Boraginaceae,Cordia crenata,Delile,Uganda
Boraginaceae,Cordia millenii,Baker,Uganda
Boraginaceae,Cordia monoica,Roxb.,Uganda
Boraginaceae,Cordia sinensis,Lam.,Uganda
Boraginaceae,Cordia uncinulata,De Wild.,Uganda
Boraginaceae,Ehretia cymosa,Thonn.,Uganda
Boraginaceae,Ehretia obtusifolia,Hochst. ex A.DC.,Uganda
Burseraceae,Boswellia neglecta,S.Moore,Uganda
Burseraceae,Boswellia papyrifera,(Caill. ex Delile) Hochst.,Uganda
Burseraceae,Commiphora africana,(A.Rich.) Engl.,Uganda
Burseraceae,Commiphora holtziana,Engl.,Uganda
Burseraceae,Commiphora schimperi,(O.Berg) Engl.,Uganda
Calophyllaceae,Mammea africana,Sabine,Uganda
Canellaceae,Warburgia ugandensis,Sprague,Uganda
Cannabaceae,Celtis adolfi-friderici,Engl.,Uganda
Cannabaceae,Celtis africana,Burm.f.,Uganda
Cannabaceae,Celtis mildbraedii,Engl.,Uganda
Cannabaceae,Celtis philippensis,Blanco,Uganda
Cannabaceae,Celtis toka,(Forssk.) Hepper & J.R.I.Wood,Uganda
Cannabaceae,Celtis zenkeri,Engl.,Uganda
Cannabaceae,Sparrea gomphophylla,(Baker) X.G.Fu & T.S.Yi,Uganda
Cannabaceae,Trema orientale,(L.) Blume,Uganda
Capparaceae,Boscia angustifolia,A.Rich.,Uganda
Capparaceae,Boscia coriacea,Graells,Uganda
Capparaceae,Boscia salicifolia,Oliv.,Uganda
Capparaceae,Cadaba farinosa,Forssk.,Uganda
Capparaceae,Cadaba glandulosa,Forssk.,Uganda
Capparaceae,Crateva adansonii,DC.,Uganda
Capparaceae,Crateva eminens,(Hook.f.) Christenh. & Byng,Uganda
Capparaceae,Maerua angolensis,DC.,Uganda
Capparaceae,Maerua bussei,(Gilg & Gilg-Ben.) R.Wilczek,Uganda
Capparaceae,Maerua crassifolia,Forssk.,Uganda
Capparaceae,Maerua duchesnei,(De Wild.) F.White,Uganda
Capparaceae,Maerua triphylla,A.Rich.,Uganda
Capparaceae,Ritchiea albersii,Gilg,Uganda
Cardiopteridaceae,Leptaulus daphnoides,Benth.,Uganda
Cardiopteridaceae,Leptaulus holstii,(Engl.) Engl.,Uganda
Celastraceae,Cassine aethiopica,Thunb.,Uganda
Celastraceae,Cassine buchananii,Loes.,Uganda
Celastraceae,Catha edulis,(Vahl) Endl.,Uganda
