family,taxon,author,native to
Anacardiaceae,Cotinus coggygria,Scop.,Ukraine
Anacardiaceae,Rhus coriaria,L.,Ukraine
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Ukraine
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Ukraine
Betulaceae,Alnus incana,(L.) Moench,Ukraine
Betulaceae,Betula klokovii,Zaver.,Ukraine
Betulaceae,Betula pendula,Roth,Ukraine
Betulaceae,Betula pubescens,Ehrh.,Ukraine
Betulaceae,Carpinus betulus,L.,Ukraine
Betulaceae,Carpinus orientalis,Mill.,Ukraine
Betulaceae,Corylus avellana,L.,Ukraine
Cannabaceae,Celtis planchoniana,K.I.Chr.,Ukraine
Cannabaceae,Celtis tournefortii,Lam.,Ukraine
Celastraceae,Euonymus europaeus,L.,Ukraine
Celastraceae,Euonymus latifolius,(L.) Mill.,Ukraine
Cornaceae,Cornus mas,L.,Ukraine
Cupressaceae,Juniperus communis,L.,Ukraine
Cupressaceae,Juniperus deltoides,R.P.Adams,Ukraine
Cupressaceae,Juniperus excelsa,M.Bieb.,Ukraine
Cupressaceae,Juniperus foetidissima,Willd.,Ukraine
Cupressaceae,Juniperus oxycedrus,L.,Ukraine
Elaeagnaceae,Hippophae rhamnoides,L.,Ukraine
Ericaceae,Arbutus andrachne,L.,Ukraine
Ericaceae,Arbutus unedo,L.,Ukraine
Fagaceae,Fagus orientalis,Lipsky,Ukraine
Fagaceae,Fagus sylvatica,L.,Ukraine
Fagaceae,Quercus petraea,(Matt.) Liebl.,Ukraine
Fagaceae,Quercus pubescens,Willd.,Ukraine
Fagaceae,Quercus robur,L.,Ukraine
Juglandaceae,Pterocarya fraxinifolia,(Lam.) Spach,Ukraine
Malvaceae,Tilia cordata,Mill.,Ukraine
Malvaceae,Tilia dasystyla,Steven,Ukraine
Malvaceae,Tilia platyphyllos,Scop.,Ukraine
Malvaceae,Tilia tomentosa,Moench,Ukraine
Oleaceae,Fraxinus angustifolia,Vahl,Ukraine
Oleaceae,Fraxinus excelsior,L.,Ukraine
Oleaceae,Fraxinus pallisiae,Wilmott,Ukraine
Oleaceae,Olea europaea,L.,Ukraine
Pinaceae,Abies alba,Mill.,Ukraine
Pinaceae,Larix decidua,Mill.,Ukraine
Pinaceae,Picea abies,(L.) H.Karst.,Ukraine
Pinaceae,Pinus brutia,Ten.,Ukraine
Pinaceae,Pinus cembra,L.,Ukraine
Pinaceae,Pinus mugo,Turra,Ukraine
Pinaceae,Pinus nigra,J.F.Arnold,Ukraine
Pinaceae,Pinus sylvestris,L.,Ukraine
Rhamnaceae,Frangula alnus,Mill.,Ukraine
Rhamnaceae,Rhamnus alaternus,L.,Ukraine
Rhamnaceae,Rhamnus cathartica,L.,Ukraine
Rosaceae,Crataegus ambigua,C.A.Mey. ex A.K.Becker,Ukraine
Rosaceae,Crataegus laevigata,(Poir.) DC.,Ukraine
Rosaceae,Crataegus meyeri,Pojark.,Ukraine
Rosaceae,Crataegus monogyna,Jacq.,Ukraine
Rosaceae,Crataegus orientalis,Pall. ex M.Bieb.,Ukraine
Rosaceae,Crataegus pentagyna,Waldst. & Kit. ex Willd.,Ukraine
Rosaceae,Crataegus rhipidophylla,Gand.,Ukraine
Rosaceae,Crataegus sphaenophylla,Pojark.,Ukraine
