family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,United Arab Emirates
Amaranthaceae,Haloxylon persicum,Bunge,United Arab Emirates
Apocynaceae,Periploca aphylla,Decne.,United Arab Emirates
Boraginaceae,Ehretia obtusifolia,Hochst. ex A.DC.,United Arab Emirates
Capparaceae,Capparis cartilaginea,Decne.,United Arab Emirates
Fabaceae,Prosopis cineraria,(L.) Druce,United Arab Emirates
Fabaceae,Vachellia flava,(Forssk.) Kyal. & Boatwr.,United Arab Emirates
Fabaceae,Vachellia tortilis,(Forssk.) Galasso & Banfi,United Arab Emirates
Moraceae,Ficus johannis,Boiss.,United Arab Emirates
Moringaceae,Moringa peregrina,(Forssk.) Fiori,United Arab Emirates
Rhamnaceae,Ziziphus nummularia,(Burm.f.) Wight & Arn.,United Arab Emirates
Rhizophoraceae,Rhizophora mucronata,Poir.,United Arab Emirates
Tamaricaceae,Tamarix aphylla,(L.) H.Karst.,United Arab Emirates
Tamaricaceae,Tamarix pycnocarpa,DC.,United Arab Emirates
