family,taxon,author,native to
Aquifoliaceae,Ilex aquifolium,L.,United Kingdom of Great Britain and Northern Ireland
Betulaceae,Alnus glutinosa,(L.) Gaertn.,United Kingdom of Great Britain and Northern Ireland
Betulaceae,Betula pendula,Roth,United Kingdom of Great Britain and Northern Ireland
Betulaceae,Betula pubescens,Ehrh.,United Kingdom of Great Britain and Northern Ireland
Betulaceae,Carpinus betulus,L.,United Kingdom of Great Britain and Northern Ireland
Betulaceae,Corylus avellana,L.,United Kingdom of Great Britain and Northern Ireland
Buxaceae,Buxus sempervirens,L.,United Kingdom of Great Britain and Northern Ireland
Celastraceae,Euonymus europaeus,L.,United Kingdom of Great Britain and Northern Ireland
Cupressaceae,Juniperus communis,L.,United Kingdom of Great Britain and Northern Ireland
Elaeagnaceae,Hippophae rhamnoides,L.,United Kingdom of Great Britain and Northern Ireland
Fagaceae,Fagus sylvatica,L.,United Kingdom of Great Britain and Northern Ireland
Fagaceae,Quercus petraea,(Matt.) Liebl.,United Kingdom of Great Britain and Northern Ireland
Fagaceae,Quercus robur,L.,United Kingdom of Great Britain and Northern Ireland
Malvaceae,Tilia cordata,Mill.,United Kingdom of Great Britain and Northern Ireland
Malvaceae,Tilia platyphyllos,Scop.,United Kingdom of Great Britain and Northern Ireland
Oleaceae,Fraxinus excelsior,L.,United Kingdom of Great Britain and Northern Ireland
Pinaceae,Pinus sylvestris,L.,United Kingdom of Great Britain and Northern Ireland
Rhamnaceae,Frangula alnus,Mill.,United Kingdom of Great Britain and Northern Ireland
Rhamnaceae,Rhamnus cathartica,L.,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Crataegus laevigata,(Poir.) DC.,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Crataegus monogyna,Jacq.,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Malus sylvestris,(L.) Mill.,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Prunus avium,(L.) L.,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Prunus padus,L.,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Prunus spinosa,L.,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Pyrus communis,L.,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Pyrus cordata,Desv.,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus admonitor,M.Proctor,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus anglica,Hedl.,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus aria,(L.) Crantz,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus arranensis,Hedl.,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus arvonicola,P.D.Sell,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus aucuparia,L.,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus avonensis,T.C.G.Rich,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus bristoliensis,Wilmott        ,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus cambrensis,M.Proctor,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus cheddarensis,L.Houston & Ashley Robertson,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus cuneifolia,T.C.G.Rich,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus devoniensis,E.F.Warb.,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus domestica,L.        ,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus eminens,E.F.Warb.,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus eminentiformis,T.C.G.Rich,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus eminentoides,L.Houston,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus evansii,T.C.G.Rich,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus fayana,L.Houston & T.C.G.Rich,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus greenii,T.C.G.Rich,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus herefordensis,D.Green,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus hibernica,E.F.Warb.,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus lancastriensis,E.F.Warb.,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus leighensis,T.C.G.Rich,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus leptophylla,E.F.Warb.,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus leyana,Wilmott        ,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus margaretae,M.Proctor,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus minima,(Ley) Hedl.,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus parviloba,T.C.G.Rich,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus porrigentiformis,E.F.Warb.,United Kingdom of Great Britain and Northern Ireland
Rosaceae,Sorbus pseudofennica,E.F.Warb.,United Kingdom of Great Britain and Northern Ireland
