family,taxon,author,native to
Acanthaceae,Anisotes pubinervius,(T.Anderson) Heine,United Republic of Tanzania
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,United Republic of Tanzania
Acanthaceae,Barleria mirabilis,I.Darbysh. & Q.Luke,United Republic of Tanzania
Acanthaceae,Mimulopsis arborescens,C.B.Clarke,United Republic of Tanzania
Acanthaceae,Sclerochiton glandulosissimus,Vollesen,United Republic of Tanzania
Acanthaceae,Sclerochiton insignis,(Mildbr.) Vollesen,United Republic of Tanzania
Acanthaceae,Sclerochiton obtusisepalus,C.B.Clarke,United Republic of Tanzania
Acanthaceae,Sclerochiton tanzaniensis,Vollesen,United Republic of Tanzania
Acanthaceae,Sclerochiton uluguruensis,Vollesen,United Republic of Tanzania
Achariaceae,Caloncoba welwitschii,(Oliv.) Gilg,United Republic of Tanzania
Achariaceae,Dasylepis integra,Warb.,United Republic of Tanzania
Achariaceae,Grandidiera boivinii,Jaub.,United Republic of Tanzania
Achariaceae,Kiggelaria africana,L.,United Republic of Tanzania
Achariaceae,Lindackeria bukobensis,Gilg,United Republic of Tanzania
Achariaceae,Lindackeria fragrans,(Gilg) Gilg,United Republic of Tanzania
Achariaceae,Lindackeria schweinfurthii,Gilg,United Republic of Tanzania
Achariaceae,Peterodendron ovatum,(Sleumer) Sleumer,United Republic of Tanzania
Achariaceae,Rawsonia lucida,Harv. & Sond.,United Republic of Tanzania
Achariaceae,Xylotheca tettensis,(Klotzsch) Gilg,United Republic of Tanzania
Amaryllidaceae,Cryptostephanus haemanthoides,Pax,United Republic of Tanzania
Anacardiaceae,Lannea alata,(Engl.) Engl.,United Republic of Tanzania
Anacardiaceae,Lannea antiscorbutica,(Hiern) Engl.,United Republic of Tanzania
Anacardiaceae,Lannea asymmetrica,R.E.Fr.,United Republic of Tanzania
Anacardiaceae,Lannea cotoneaster,(Chiov.) Sacleux,United Republic of Tanzania
Anacardiaceae,Lannea fulva,(Engl.) Engl.,United Republic of Tanzania
Anacardiaceae,Lannea humilis,(Oliv.) Engl.,United Republic of Tanzania
Anacardiaceae,Lannea rivae,(Chiov.) Sacleux,United Republic of Tanzania
Anacardiaceae,Lannea schimperi,(Hochst. ex A.Rich.) Engl.,United Republic of Tanzania
Anacardiaceae,Lannea schweinfurthii,Engl.,United Republic of Tanzania
Anacardiaceae,Lannea triphylla,(Hochst. ex A.Rich.) Engl.,United Republic of Tanzania
Anacardiaceae,Lannea welwitschii,(Hiern) Engl.,United Republic of Tanzania
Anacardiaceae,Ozoroa insignis,Delile,United Republic of Tanzania
Anacardiaceae,Ozoroa kassneri,(Engl. & Brehmer) R.Fern. & A.Fern.,United Republic of Tanzania
Anacardiaceae,Ozoroa obovata,(Oliv.) R.Fern. & A.Fern.,United Republic of Tanzania
Anacardiaceae,Pistacia aethiopica,Kokwaro,United Republic of Tanzania
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,United Republic of Tanzania
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,United Republic of Tanzania
Anacardiaceae,Searsia anchietae,(Ficalho & Hiern) Moffett,United Republic of Tanzania
Anacardiaceae,Searsia brenanii,(Kokwaro) Moffett,United Republic of Tanzania
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,United Republic of Tanzania
Anacardiaceae,Searsia longipes,(Engl.) Moffett,United Republic of Tanzania
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,United Republic of Tanzania
Anacardiaceae,Searsia pyroides,(Burch.) Moffett,United Republic of Tanzania
Anacardiaceae,Searsia quartiniana,(A.Rich.) A.J.Mill.,United Republic of Tanzania
Anacardiaceae,Searsia tenuinervis,(Engl.) Moffett,United Republic of Tanzania
Anacardiaceae,Sorindeia calantha,Mildbr.,United Republic of Tanzania
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,United Republic of Tanzania
Anacardiaceae,Sorindeia madagascariensis,Thouars ex DC.,United Republic of Tanzania
Anacardiaceae,Sorindeia winkleri,Engl.,United Republic of Tanzania
Anacardiaceae,Trichoscypha lucens,Oliv.,United Republic of Tanzania
Anacardiaceae,Trichoscypha ulugurensis,Mildbr.,United Republic of Tanzania
Anisophylleaceae,Anisophyllea boehmii,Engl.,United Republic of Tanzania
Anisophylleaceae,Anisophyllea obtusifolia,Engl. & Brehmer,United Republic of Tanzania
Anisophylleaceae,Anisophyllea pomifera,Engl. & Brehmer,United Republic of Tanzania
Annonaceae,Annickia kummeriae,(Engl. & Diels) Setten & Maas,United Republic of Tanzania
Annonaceae,Annona senegalensis,Pers.,United Republic of Tanzania
Annonaceae,Anonidium usambarense,R.E.Fr.,United Republic of Tanzania
Annonaceae,Artabotrys brachypetalus,Benth.,United Republic of Tanzania
Annonaceae,Artabotrys monteiroae,Oliv.,United Republic of Tanzania
Annonaceae,Asteranthe asterias,(S.Moore) Engl. & Diels,United Republic of Tanzania
Annonaceae,Asteranthe lutea,Vollesen,United Republic of Tanzania
Annonaceae,Cleistochlamys kirkii,(Benth.) Oliv.,United Republic of Tanzania
Annonaceae,Dielsiothamnus divaricatus,(Diels) R.E.Fr.,United Republic of Tanzania
Annonaceae,Greenwayodendron usambaricum,"(Verdc.) Lissambou, Hardy & Couvreur",United Republic of Tanzania
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,United Republic of Tanzania
Annonaceae,Huberantha tanganyikensis,(Vollesen) Chaowasku,United Republic of Tanzania
Annonaceae,Huberantha verdcourtii,(Vollesen) Chaowasku,United Republic of Tanzania
Annonaceae,Isolona cauliflora,Verdc.,United Republic of Tanzania
Annonaceae,Isolona heinsenii,Engl.,United Republic of Tanzania
Annonaceae,Isolona hexaloba,(Pierre) Engl. & Diels,United Republic of Tanzania
Annonaceae,Isolona linearis,Couvreur,United Republic of Tanzania
Annonaceae,Lettowianthus stellatus,Diels,United Republic of Tanzania
Annonaceae,Lukea triciae,Cheek & Gosline,United Republic of Tanzania
Annonaceae,Mischogyne iddii,Gosline & A.R.Marshall,United Republic of Tanzania
Annonaceae,Mkilua fragrans,Verdc.,United Republic of Tanzania
Annonaceae,Monanthotaxis buchananii,(Engl.) Verdc.,United Republic of Tanzania
Annonaceae,Monanthotaxis ferruginea,(Oliv.) Verdc.,United Republic of Tanzania
Annonaceae,Monanthotaxis fornicata,(Baill.) Verdc.,United Republic of Tanzania
Annonaceae,Monanthotaxis obovata,(Benth.) P.H.Hoekstra,United Republic of Tanzania
Annonaceae,Monanthotaxis parvifolia,(Oliv.) Verdc.,United Republic of Tanzania
Annonaceae,Monodora angolensis,Welw.,United Republic of Tanzania
Annonaceae,Monodora carolinae,Couvreur        ,United Republic of Tanzania
Annonaceae,Monodora globiflora,Couvreur,United Republic of Tanzania
Annonaceae,Monodora grandidieri,Baill.,United Republic of Tanzania
Annonaceae,Monodora hastipetala,Couvreur        ,United Republic of Tanzania
Annonaceae,Monodora junodii,Engl. & Diels,United Republic of Tanzania
Annonaceae,Monodora minor,Engl. & Diels,United Republic of Tanzania
Annonaceae,Monodora myristica,(Gaertn.) Dunal,United Republic of Tanzania
Annonaceae,Mwasumbia alba,Couvreur & D.M.Johnson,United Republic of Tanzania
Annonaceae,Ophrypetalum odoratum,Diels,United Republic of Tanzania
Annonaceae,Polyceratocarpus askhambryan-iringae,A.R.Marshall & D.M.Johnson,United Republic of Tanzania
Annonaceae,Polyceratocarpus scheffleri,Engl. & Diels,United Republic of Tanzania
Annonaceae,Sanrafaelia ruffonammari,Verdc.,United Republic of Tanzania
Annonaceae,Sphaerocoryne gracilis,(Engl. & Diels) Verdc.,United Republic of Tanzania
Annonaceae,Toussaintia orientalis,Verdc.,United Republic of Tanzania
Annonaceae,Uvaria acuminata,Oliv.,United Republic of Tanzania
Annonaceae,Uvaria angolensis,Welw. ex Oliv.,United Republic of Tanzania
Annonaceae,Uvaria faulknerae,Verdc.,United Republic of Tanzania
Annonaceae,Uvaria leptocladon,Oliv.,United Republic of Tanzania
Annonaceae,Uvaria pandensis,Verdc.,United Republic of Tanzania
Annonaceae,Uvaria welwitschii,(Hiern) Engl. & Diels,United Republic of Tanzania
Annonaceae,Uvariastrum hexaloboides,(R.E.Fr.) R.E.Fr. ex N.Robson,United Republic of Tanzania
Annonaceae,Uvariodendron anisatum,Verdc.,United Republic of Tanzania
Annonaceae,Uvariodendron gorgonis,Verdc.,United Republic of Tanzania
Annonaceae,Uvariodendron kirkii,Verdc.,United Republic of Tanzania
Annonaceae,Uvariodendron mbagoi,Dagallier & Couvreur,United Republic of Tanzania
Annonaceae,Uvariodendron oligocarpum,Verdc.,United Republic of Tanzania
Annonaceae,Uvariodendron pycnophyllum,(Diels) R.E.Fr.,United Republic of Tanzania
Annonaceae,Uvariodendron usambarense,R.E.Fr.,United Republic of Tanzania
Annonaceae,Uvariopsis bisexualis,Verdc.,United Republic of Tanzania
Annonaceae,Uvariopsis lovettiana,Couvreur & Q.Luke,United Republic of Tanzania
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,United Republic of Tanzania
Annonaceae,Xylopia arenaria,Engl.,United Republic of Tanzania
