family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,United States Minor Outlying Islands
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,United States Minor Outlying Islands
Asparagaceae,Cordyline fruticosa,(L.) A.Chev.,United States Minor Outlying Islands
Combretaceae,Conocarpus erectus,L.,United States Minor Outlying Islands
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,United States Minor Outlying Islands
Lamiaceae,Vitex trifolia,L.,United States Minor Outlying Islands
Lythraceae,Pemphis acidula,J.R.Forst. & G.Forst.,United States Minor Outlying Islands
Moraceae,Ficus prolixa,G.Forst.,United States Minor Outlying Islands
Rhizophoraceae,Rhizophora mangle,L.,United States Minor Outlying Islands
Rubiaceae,Guettarda speciosa,L.,United States Minor Outlying Islands
