family,taxon,author,native to
Anacardiaceae,Comocladia dodonaea,(L.) Britton,United States Virgin Islands
Anacardiaceae,Spondias mombin,L.,United States Virgin Islands
Annonaceae,Annona glabra,L.,United States Virgin Islands
Annonaceae,Annona montana,Macfad.,United States Virgin Islands
Annonaceae,Annona mucosa,Jacq.,United States Virgin Islands
Annonaceae,Guatteria caribaea,Urb.,United States Virgin Islands
Annonaceae,Oxandra laurifolia,(Sw.) A.Rich.,United States Virgin Islands
Apocynaceae,Plumeria alba,L.,United States Virgin Islands
Apocynaceae,Rauvolfia nitida,Jacq.,United States Virgin Islands
Apocynaceae,Rauvolfia tetraphylla,L.,United States Virgin Islands
Apocynaceae,Rauvolfia viridis,Roem. & Schult.,United States Virgin Islands
Aquifoliaceae,Ilex nitida,(Vahl) Maxim.,United States Virgin Islands
Aquifoliaceae,Ilex urbaniana,Loes. ex Urb.,United States Virgin Islands
Araliaceae,Didymopanax morototoni,(Aubl.) Decne. & Planch.,United States Virgin Islands
Arecaceae,Coccothrinax barbadensis,(Lodd. ex Mart.) Becc.,United States Virgin Islands
Arecaceae,Roystonea borinquena,O.F.Cook,United States Virgin Islands
Arecaceae,Sabal causiarum,(O.F.Cook) Becc.,United States Virgin Islands
Asteraceae,Baccharis dioica,Vahl,United States Virgin Islands
Bignoniaceae,Amphitecna latifolia,(Mill.) A.H.Gentry,United States Virgin Islands
Bignoniaceae,Crescentia cujete,L.,United States Virgin Islands
Bignoniaceae,Crescentia linearifolia,Miers,United States Virgin Islands
Bignoniaceae,Tabebuia heterophylla,(DC.) Britton,United States Virgin Islands
Bignoniaceae,Tecoma stans,(L.) Juss. ex Kunth,United States Virgin Islands
Boraginaceae,Bourreria succulenta,Jacq.,United States Virgin Islands
Boraginaceae,Cordia alliodora,(Ruiz & Pav.) Oken,United States Virgin Islands
Boraginaceae,Cordia collococca,L.,United States Virgin Islands
Boraginaceae,Cordia laevigata,Lam.,United States Virgin Islands
Boraginaceae,Cordia rickseckeri,Millsp.,United States Virgin Islands
Boraginaceae,Cordia sulcata,A.DC.,United States Virgin Islands
Boraginaceae,Heliotropium filiflorum,(Griseb.) Feuillet,United States Virgin Islands
Boraginaceae,Rochefortia acanthophora,(A.DC.) Griseb.,United States Virgin Islands
Cactaceae,Consolea macracantha,(Griseb.) A.Berger,United States Virgin Islands
Cactaceae,Consolea rubescens,(Salm-Dyck ex DC.) Lem.,United States Virgin Islands
Cactaceae,Pilosocereus royenii,(L.) Byles & G.D.Rowley,United States Virgin Islands
Calophyllaceae,Mammea americana,L.,United States Virgin Islands
Canellaceae,Canella winterana,(L.) Gaertn.,United States Virgin Islands
Cannabaceae,Celtis iguanaea,(Jacq.) Sarg.,United States Virgin Islands
Cannabaceae,Celtis trinervia,Lam.,United States Virgin Islands
Cannabaceae,Trema micranthum,(L.) Blume,United States Virgin Islands
Capparaceae,Capparidastrum frondosum,(Jacq.) Cornejo & Iltis,United States Virgin Islands
Capparaceae,Cynophalla amplissima,(Lam.) Iltis & Cornejo,United States Virgin Islands
Capparaceae,Cynophalla flexuosa,(L.) J.Presl,United States Virgin Islands
Capparaceae,Cynophalla hastata,(Jacq.) J.Presl,United States Virgin Islands
Capparaceae,Morisonia americana,L.,United States Virgin Islands
Capparaceae,Quadrella cynophallophora,(L.) Hutch.,United States Virgin Islands
Capparaceae,Quadrella indica,(L.) Iltis & Cornejo,United States Virgin Islands
Celastraceae,Crossopetalum rhacoma,Crantz,United States Virgin Islands
Celastraceae,Elaeodendron xylocarpum,(Vent.) DC.,United States Virgin Islands
Celastraceae,Gyminda latifolia,(Sw.) Urb.,United States Virgin Islands
Celastraceae,Maytenus cymosa,Krug & Urb.,United States Virgin Islands
Celastraceae,Monteverdia elaeodendroides,(Griseb.) Biral,United States Virgin Islands
Celastraceae,Monteverdia laevigata,(Vahl) Biral,United States Virgin Islands
Celastraceae,Schaefferia frutescens,Jacq.,United States Virgin Islands
Chrysobalanaceae,Chrysobalanus icaco,L.,United States Virgin Islands
Clusiaceae,Clusia rosea,Jacq.,United States Virgin Islands
Combretaceae,Terminalia buceras,(L.) C.Wright,United States Virgin Islands
Combretaceae,Terminalia tetraphylla,(Aubl.) Gere & Boatwr.,United States Virgin Islands
Ericaceae,Lyonia rubiginosa,(Pers.) G. Don,United States Virgin Islands
Ericaceae,Lyonia stahlii,Urb.,United States Virgin Islands
Erythroxylaceae,Erythroxylum areolatum,L.,United States Virgin Islands
Erythroxylaceae,Erythroxylum brevipes,DC.,United States Virgin Islands
Erythroxylaceae,Erythroxylum rotundifolium,Lunan,United States Virgin Islands
Euphorbiaceae,Adelia ricinella,L.,United States Virgin Islands
Euphorbiaceae,Argythamnia candicans,Sw.,United States Virgin Islands
Euphorbiaceae,Croton astroites,Aiton,United States Virgin Islands
Euphorbiaceae,Croton betulinus,Vahl,United States Virgin Islands
Euphorbiaceae,Croton discolor,Willd.,United States Virgin Islands
Euphorbiaceae,Croton flavens,L.,United States Virgin Islands
Euphorbiaceae,Euphorbia petiolaris,Sims,United States Virgin Islands
Euphorbiaceae,Gymnanthes lucida,Sw.,United States Virgin Islands
Euphorbiaceae,Hippomane mancinella,L.,United States Virgin Islands
Euphorbiaceae,Hura crepitans,L.,United States Virgin Islands
Euphorbiaceae,Jatropha curcas,L.,United States Virgin Islands
Euphorbiaceae,Jatropha multifida,L.,United States Virgin Islands
Euphorbiaceae,Sapium glandulosum,(L.) Morong,United States Virgin Islands
Fabaceae,Andira inermis,(W.Wright) DC.,United States Virgin Islands
Fabaceae,Chloroleucon mangense,(Jacq.) Britton & Rose,United States Virgin Islands
Fabaceae,Erythrina corallodendron,L.,United States Virgin Islands
