family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,United States of America
Achatocarpaceae,Phaulothamnus spinescens,A.Gray,United States of America
Altingiaceae,Liquidambar styraciflua,L.,United States of America
Amaranthaceae,Charpentiera densiflora,Sohmer,United States of America
Amaranthaceae,Charpentiera elliptica,(Hillebr.) A.Heller,United States of America
Amaranthaceae,Charpentiera obovata,Gaudich.,United States of America
Amaranthaceae,Charpentiera ovata,Gaudich.,United States of America
Amaranthaceae,Charpentiera tomentosa,Sohmer,United States of America
Amaranthaceae,Nototrichium humile,Hillebr.,United States of America
Amaranthaceae,Nototrichium sandwicense,Hillebr.,United States of America
Anacardiaceae,Cotinus obovatus,Raf.,United States of America
Anacardiaceae,Malosma laurina,(Nutt.) Abrams,United States of America
Anacardiaceae,Metopium toxiferum,(L.) Krug & Urb.,United States of America
Anacardiaceae,Pistacia mexicana,Kunth,United States of America
Anacardiaceae,Rhus copallinum,L.,United States of America
Anacardiaceae,Rhus glabra,L.,United States of America
Anacardiaceae,Rhus integrifolia,(Nutt.) W.H.Brewer & S.Watson,United States of America
Anacardiaceae,Rhus kearneyi,F.A. Barkley,United States of America
Anacardiaceae,Rhus lanceolata,(A.Gray) Britton,United States of America
Anacardiaceae,Rhus microphylla,Engelm.,United States of America
Anacardiaceae,Rhus ovata,S. Watson,United States of America
Anacardiaceae,Rhus sandwicensis,A.Gray        ,United States of America
Anacardiaceae,Rhus typhina,L.,United States of America
Anacardiaceae,Rhus virens,Lindh. ex A. Gray,United States of America
Anacardiaceae,Toxicodendron vernix,(L.) Kuntze,United States of America
Annonaceae,Annona glabra,L.,United States of America
Annonaceae,Asimina obovata,(Willd.) Nash,United States of America
Annonaceae,Asimina parviflora,(Michx.) Dunal,United States of America
Annonaceae,Asimina tetramera,Small,United States of America
Annonaceae,Asimina triloba,(L.) Dunal,United States of America
Apocynaceae,Ochrosia compta,K.Schum.,United States of America
Apocynaceae,Ochrosia haleakalae,H.St.John,United States of America
Apocynaceae,Ochrosia kauaiensis,H.St.John,United States of America
Apocynaceae,Ochrosia kilaueaensis,H.St.John,United States of America
Apocynaceae,Plumeria obtusa,L.,United States of America
Apocynaceae,Pteralyxia kauaiensis,Caum,United States of America
Apocynaceae,Pteralyxia macrocarpa,(Hillebr.) K.Schum.,United States of America
Apocynaceae,Rauvolfia sandwicensis,A.DC.,United States of America
Apocynaceae,Vallesia antillana,Woodson,United States of America
Aquifoliaceae,Ilex ambigua,(Michx.) Torr.,United States of America
Aquifoliaceae,Ilex amelanchier,M.A. Curtis ex Chapm.,United States of America
Aquifoliaceae,Ilex anomala,Hook. & Arn.,United States of America
Aquifoliaceae,Ilex cassine,L.,United States of America
Aquifoliaceae,Ilex collina,Alexander,United States of America
Aquifoliaceae,Ilex coriacea,(Pursh) Chapm.,United States of America
Aquifoliaceae,Ilex cuthbertii,Small,United States of America
