family,taxon,author,native to
Anacardiaceae,Lithraea brasiliensis,Marchand,Uruguay
Anacardiaceae,Lithraea molleoides,(Vell.) Engl.,Uruguay
Anacardiaceae,Schinus engleri,F.A. Barkley,Uruguay
Anacardiaceae,Schinus fasciculata,(Griseb.) I.M. Johnst.,Uruguay
Anacardiaceae,Schinus ferox,Hassl.,Uruguay
Anacardiaceae,Schinus lentiscifolius,Marchand,Uruguay
Anacardiaceae,Schinus longifolia,(Lindl.) Speg.,Uruguay
Anacardiaceae,Schinus polygama,(Cav.) Cabrera,Uruguay
Annonaceae,Annona emarginata,(Schltdl.) H.Rainer,Uruguay
Annonaceae,Annona maritima,(Záchia) H.Rainer,Uruguay
Apocynaceae,Aspidosperma quebracho-blanco,Schltdl.,Uruguay
Apocynaceae,Tabernaemontana catharinensis,A.DC.,Uruguay
Aquifoliaceae,Ilex dumosa,Reissek,Uruguay
Aquifoliaceae,Ilex paraguariensis,A.St.-Hil.,Uruguay
Araliaceae,Didymopanax morototoni,(Aubl.) Decne. & Planch.,Uruguay
Arecaceae,Butia odorata,(Barb.Rodr.) Noblick,Uruguay
Arecaceae,Butia paraguayensis,(Barb.Rodr.) L.H.Bailey,Uruguay
Arecaceae,Butia yatay,(Mart.) Becc.,Uruguay
Arecaceae,Syagrus romanzoffiana,(Cham.) Glassman,Uruguay
Arecaceae,Trithrinax campestris,(Burmeist.) Drude & Griseb.,Uruguay
Asparagaceae,Cordyline sellowiana,Kunth,Uruguay
Asteraceae,Baccharis longiattenuata,A.S.Oliveira,Uruguay
Asteraceae,Baccharis punctulata,DC.,Uruguay
Asteraceae,Malmeanthus subintegerrimus,(Malme) R.M.King & H.Rob.,Uruguay
Asteraceae,Moquiniastrum polymorphum,(Less.) G.Sancho,Uruguay
Asteraceae,Tessaria integrifolia,Ruiz & Pav.,Uruguay
Berberidaceae,Berberis laurina,Thunb.,Uruguay
Bignoniaceae,Handroanthus heptaphyllus,(Vell.) Mattos,Uruguay
Boraginaceae,Cordia americana,(L.) Gottschling & J.S.Mill.,Uruguay
Cactaceae,Cereus hildmannianus,K.Schum.,Uruguay
Cactaceae,Cereus stenogonus,K.Schum.,Uruguay
Cactaceae,Opuntia monacantha,(Willd.) Haw.,Uruguay
Cactaceae,Pereskia nemorosa,Rojas Acosta,Uruguay
Cannabaceae,Celtis chichape,(Wedd.) Miq.,Uruguay
Cannabaceae,Celtis ehrenbergiana,(Klotzsch) Liebm.,Uruguay
Cannabaceae,Celtis iguanaea,(Jacq.) Sarg.,Uruguay
Cannabaceae,Celtis pallida,Torr.,Uruguay
Cannabaceae,Celtis spinosa,Spreng.,Uruguay
Cannabaceae,Celtis tala,Gillies ex Planch.,Uruguay
Cardiopteridaceae,Citronella gongonha,(Mart.) R.A.Howard,Uruguay
Cardiopteridaceae,Citronella paniculata,(Mart.) R.A.Howard,Uruguay
Caricaceae,Vasconcellea quercifolia,A.St.-Hil.,Uruguay
Celastraceae,Maytenus vitis-idaea,Griseb.,Uruguay
Celastraceae,Monteverdia cassineformis,(Reissek) Biral,Uruguay
Celastraceae,Monteverdia dasyclados,(Mart.) Biral,Uruguay
Celastraceae,Schaefferia argentinensis,Speg.,Uruguay
Combretaceae,Terminalia australis,Cambess.,Uruguay
Ebenaceae,Diospyros inconstans,Jacq.,Uruguay
Ericaceae,Agarista eucalyptoides,(Cham. & Schltdl.) G.Don,Uruguay
Erythroxylaceae,Erythroxylum myrsinites,Mart.,Uruguay
Erythroxylaceae,Erythroxylum umbu,Costa-Lima,Uruguay
Escalloniaceae,Escallonia bifida,Link & Otto,Uruguay
Euphorbiaceae,Actinostemon concolor,(Spreng.) Müll.Arg.,Uruguay
Euphorbiaceae,Bernardia pulchella,(Baill.) Müll.Arg.,Uruguay
Euphorbiaceae,Colliguaja brasiliensis,Klotzsch ex Baill.,Uruguay
Euphorbiaceae,Croton nitrariifolius,Baill.,Uruguay
Euphorbiaceae,Croton urucurana,Baill.,Uruguay
Euphorbiaceae,Jatropha curcas,L.,Uruguay
Euphorbiaceae,Manihot grahamii,Hook.,Uruguay
Euphorbiaceae,Sapium glandulosum,(L.) Morong,Uruguay
Euphorbiaceae,Sapium haematospermum,Müll.Arg.,Uruguay
Euphorbiaceae,Sebastiania brasiliensis,Spreng.,Uruguay
Euphorbiaceae,Sebastiania klotzschiana,(Müll.Arg.) Müll.Arg.,Uruguay
Euphorbiaceae,Sebastiania schottiana,(Müll.Arg.) Müll.Arg.,Uruguay
Fabaceae,Bauhinia forficata,Link,Uruguay
Fabaceae,Bauhinia uruguayensis,Benth.,Uruguay
Fabaceae,Calliandra parvifolia,Speg.,Uruguay
Fabaceae,Calliandra tweediei,Benth.,Uruguay
Fabaceae,Dahlstedtia muehlbergiana,(Hassl.) M.J.Silva & A.M.G.Azevedo,Uruguay
Fabaceae,Enterolobium contortisiliquum,(Vell.) Morong,Uruguay
Fabaceae,Erythrina crista-galli,L.,Uruguay
Fabaceae,Geoffroea decorticans,(Gillies ex Hook. & Arn.) Burkart,Uruguay
Fabaceae,Gleditsia amorphoides,(Griseb.) Taub.,Uruguay
Fabaceae,Inga affinis,DC.,Uruguay
Fabaceae,Inga uraguensis,Hook. & Arn.,Uruguay
Fabaceae,Lonchocarpus nitidus,(Vogel) Benth.,Uruguay
Fabaceae,Mimosa bimucronata,(DC.) Kuntze,Uruguay
Fabaceae,Neltuma affinis,(Spreng.) C.E.Hughes & G.P.Lewis,Uruguay
Fabaceae,Neltuma nigra,(Griseb.) C.E.Hughes & G.P.Lewis,Uruguay
Fabaceae,Parapiptadenia rigida,(Benth.) Brenan,Uruguay
Fabaceae,Parkinsonia aculeata,L.,Uruguay
Fabaceae,Peltophorum dubium,(Spreng.) Taub.,Uruguay
Fabaceae,Poecilanthe parviflora,Benth.,Uruguay
Fabaceae,Pseudalbizzia inundata,(Mart.) E.J.M.Koenen & Duno,Uruguay
Fabaceae,Senegalia bonariensis,(Gillies ex Hook. & Arn.) Seigler & Ebinger,Uruguay
Fabaceae,Senegalia praecox,(Griseb.) Seigler & Ebinger,Uruguay
Fabaceae,Senna corymbosa,(Lam.) H.S.Irwin & Barneby,Uruguay
Fabaceae,Sesbania virgata,(Cav.) Pers.,Uruguay
Fabaceae,Tipuana tipu,(Benth.) Kuntze,Uruguay
Fabaceae,Vachellia astringens,(Gillies ex Hook. & Arn.) Speg.,Uruguay
Fabaceae,Vachellia caven,(Molina) Seigler & Ebinger,Uruguay
Fabaceae,Vachellia farnesiana,(L.) Wight & Arn.,Uruguay
Lamiaceae,Aegiphila brachiata,Vell.,Uruguay
Lamiaceae,Vitex megapotamica,(Spreng.) Moldenke,Uruguay
Lauraceae,Aiouea amoena,(Nees & Mart.) R.Rohde,Uruguay
Lauraceae,Nectandra angustifolia,(Schrad.) Nees & Mart.,Uruguay
