family,taxon,author,native to
Amaranthaceae,Haloxylon persicum,Bunge,Uzbekistan
Amaranthaceae,Xylosalsola paletzkiana,(Litv.) Akhani & Roalson,Uzbekistan
Amaranthaceae,Xylosalsola richteri,(Moq.) Akhani & Roalson,Uzbekistan
Anacardiaceae,Rhus coriaria,L.,Uzbekistan
Betulaceae,Betula coriaceifolia,V.N.Vassil.,Uzbekistan
Betulaceae,Betula microphylla,Bunge,Uzbekistan
Betulaceae,Betula pendula,Roth,Uzbekistan
Betulaceae,Betula tianschanica,Rupr.,Uzbekistan
Betulaceae,Betula utilis,D.Don,Uzbekistan
Cannabaceae,Celtis caucasica,Willd.,Uzbekistan
Caprifoliaceae,Lonicera nummulariifolia,Jaub. & Spach,Uzbekistan
Caprifoliaceae,Zabelia corymbosa,(Regel & Schmalh.) Makino,Uzbekistan
Cupressaceae,Juniperus communis,L.,Uzbekistan
Cupressaceae,Juniperus excelsa,M.Bieb.,Uzbekistan
Cupressaceae,Juniperus pseudosabina,Fisch. & C.A.Mey.,Uzbekistan
Cupressaceae,Juniperus semiglobosa,Regel,Uzbekistan
Cupressaceae,Juniperus seravschanica,Kom.,Uzbekistan
Cupressaceae,Platycladus orientalis,(L.) Franco,Uzbekistan
Elaeagnaceae,Elaeagnus angustifolia,L.,Uzbekistan
Elaeagnaceae,Hippophae rhamnoides,L.,Uzbekistan
Fabaceae,Ammodendron conollyi,Bunge ex Boiss.,Uzbekistan
Fabaceae,Caragana decorticans,Hemsl.,Uzbekistan
Fabaceae,Cercis griffithii,Boiss.,Uzbekistan
Fabaceae,Eremosparton flaccidum,Litv.,Uzbekistan
Fabaceae,Prosopis farcta,(Sol.) J.F.Macbr.,Uzbekistan
Grossulariaceae,Ribes malvifolium,Pojarkova        ,Uzbekistan
Juglandaceae,Juglans regia,L.,Uzbekistan
Lythraceae,Punica granatum,L.,Uzbekistan
Moraceae,Ficus carica,L.,Uzbekistan
Oleaceae,Fraxinus sogdiana,Bunge,Uzbekistan
Polygonaceae,Calligonum arborescens,Litv.,Uzbekistan
Polygonaceae,Calligonum eriopodum,Bunge,Uzbekistan
Rosaceae,Crataegus azarolus,L.,Uzbekistan
Rosaceae,Crataegus chlorocarpa,Lenné & K.Koch,Uzbekistan
Rosaceae,Crataegus pontica,K.Koch,Uzbekistan
Rosaceae,Crataegus songarica,K. Koch,Uzbekistan
Rosaceae,Crataegus turkestanica,Pojark.,Uzbekistan
Rosaceae,Cydonia oblonga,Mill.,Uzbekistan
Rosaceae,Malus domestica,(Suckow) Borkh.,Uzbekistan
Rosaceae,Malus niedzwetzkyana,Dieck        ,Uzbekistan
Rosaceae,Malus sieversii,(Ledeb.) M.Roem.,Uzbekistan
Rosaceae,Prunus bucharica,(Korsh) Hand.-Mazz.,Uzbekistan
Rosaceae,Prunus ulmifolia,Franch.,Uzbekistan
Rosaceae,Pyrus communis,L.,Uzbekistan
Rosaceae,Pyrus korshinskyi,Litv.        ,Uzbekistan
Rosaceae,Pyrus regelii,Rehder,Uzbekistan
Rosaceae,Pyrus turcomanica,Maleev,Uzbekistan
Rosaceae,Sorbus persica,Hedl.,Uzbekistan
Rosaceae,Sorbus tianschanica,Rupr.,Uzbekistan
Rosaceae,Sorbus turkestanica,(Franch.) Hedl.,Uzbekistan
Salicaceae,Populus euphratica,Olivier,Uzbekistan
Salicaceae,Populus macrocarpa,(Schrenk) Pavlov & Lipsch.,Uzbekistan
Salicaceae,Populus nigra,L.,Uzbekistan
Salicaceae,Populus talassica,Kom.,Uzbekistan
Salicaceae,Salix alba,L.,Uzbekistan
Salicaceae,Salix caprea,L.,Uzbekistan
Salicaceae,Salix capusii,Franch.,Uzbekistan
Salicaceae,Salix excelsa,S.G.Gmel.,Uzbekistan
Salicaceae,Salix niedzwieckii,Goerz,Uzbekistan
Salicaceae,Salix pycnostachya,Andersson,Uzbekistan
Salicaceae,Salix songarica,Andersson,Uzbekistan
Salicaceae,Salix viminalis,L.,Uzbekistan
Salicaceae,Salix wilhelmsiana,M.Bieb.,Uzbekistan
Sapindaceae,Acer pentapomicum,J.L.Stewart,Uzbekistan
Sapindaceae,Acer tataricum,L.,Uzbekistan
Sapindaceae,Acer turkestanicum,Pax,Uzbekistan
Tamaricaceae,Tamarix androssowii,Litv.,Uzbekistan
Tamaricaceae,Tamarix aralensis,Bunge,Uzbekistan
Tamaricaceae,Tamarix elongata,Ledeb.,Uzbekistan
Tamaricaceae,Tamarix hispida,Willd.,Uzbekistan
Tamaricaceae,Tamarix hohenackeri,Bunge,Uzbekistan
Tamaricaceae,Tamarix ramosissima,Ledeb.,Uzbekistan
Tamaricaceae,Tamarix szovitsiana,Bunge,Uzbekistan
Thymelaeaceae,Restella alberti,(Regel) Pobed.,Uzbekistan
Viburnaceae,Sambucus racemosa,L.,Uzbekistan
