family,taxon,author,native to
Acanthaceae,Avicennia alba,Blume,Viet Nam
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Viet Nam
Acanthaceae,Avicennia officinalis,L.,Viet Nam
Achariaceae,Hydnocarpus annamensis,(Gagnep.) Lescot & Sleumer,Viet Nam
Achariaceae,Hydnocarpus hainanensis,(Merr.) Sleumer,Viet Nam
Achariaceae,Hydnocarpus ilicifolius,King,Viet Nam
Achariaceae,Hydnocarpus macrocarpus,(Bedd.) Warb.,Viet Nam
Achariaceae,Hydnocarpus saigonensis,Pierre ex Gagnep.,Viet Nam
Actinidiaceae,Saurauia armata,Kurz,Viet Nam
Actinidiaceae,Saurauia griffithii,Dyer,Viet Nam
Actinidiaceae,Saurauia napaulensis,DC.,Viet Nam
Actinidiaceae,Saurauia roxburghii,Wall.,Viet Nam
Akaniaceae,Bretschneidera sinensis,Hemsl.,Viet Nam
Altingiaceae,Liquidambar chinensis,Champ.,Viet Nam
Altingiaceae,Liquidambar chingii,(F.P.Metcalf) Ickert-Bond & J.Wen,Viet Nam
Altingiaceae,Liquidambar formosana,Hance,Viet Nam
Altingiaceae,Liquidambar poilanei,(Tardieu) Ickert-Bond & J.Wen,Viet Nam
Altingiaceae,Liquidambar siamensis,(Craib) Ickert-Bond & J.Wen,Viet Nam
Altingiaceae,Liquidambar yunnanensis,(Rehder & E.H.Wilson) Ickert-Bond & J.Wen,Viet Nam
Anacardiaceae,Allospondias lakonensis,(Pierre) Stapf,Viet Nam
Anacardiaceae,Bouea oppositifolia,(Roxb.) Meisn.,Viet Nam
Anacardiaceae,Bouea poilanei,Evrard,Viet Nam
Anacardiaceae,Buchanania arborescens,(Blume) Blume,Viet Nam
Anacardiaceae,Buchanania glabra,Wall. ex Engl.,Viet Nam
Anacardiaceae,Buchanania lanzan,Spreng.,Viet Nam
Anacardiaceae,Buchanania reticulata,Hance,Viet Nam
Anacardiaceae,Buchanania siamensis,Miq.,Viet Nam
Anacardiaceae,Choerospondias axillaris,(Roxb.) B.L.Burtt & A.W.Hill,Viet Nam
Anacardiaceae,Dracontomelon dao,(Blanco) Merr. & Rolfe,Viet Nam
Anacardiaceae,Dracontomelon duperreanum,Pierre,Viet Nam
Anacardiaceae,Dracontomelon laoticum,C.M.Evrard & Tardieu,Viet Nam
Anacardiaceae,Dracontomelon petelotii,Tardieu,Viet Nam
Anacardiaceae,Dracontomelon schmidii,Tardieu,Viet Nam
Anacardiaceae,Drimycarpus racemosus,(Roxb.) Hook.f. ex Marchand.,Viet Nam
Anacardiaceae,Gluta compacta,Evrard,Viet Nam
Anacardiaceae,Gluta gracilis,Evrard,Viet Nam
Anacardiaceae,Gluta laccifera,(Pierre) Ding Hou,Viet Nam
Anacardiaceae,Gluta megalocarpa,(Evrard) Tardieu,Viet Nam
Anacardiaceae,Gluta tavoyana,Hook.f.,Viet Nam
Anacardiaceae,Gluta usitata,(Wall.) Ding Hou,Viet Nam
Anacardiaceae,Gluta velutina,Blume,Viet Nam
Anacardiaceae,Gluta wrayi,King,Viet Nam
Anacardiaceae,Lannea coromandelica,(Houtt.) Merr.,Viet Nam
Anacardiaceae,Mangifera caloneura,Kurz,Viet Nam
Anacardiaceae,Mangifera camptosperma,Pierre,Viet Nam
Anacardiaceae,Mangifera cochinchinensis,Engl.,Viet Nam
Anacardiaceae,Mangifera dongnaiensis,Pierre,Viet Nam
Anacardiaceae,Mangifera flava,Evrard,Viet Nam
Anacardiaceae,Mangifera minutifolia,Evrard,Viet Nam
Anacardiaceae,Mangifera odorata,Griff.,Viet Nam
Anacardiaceae,Mangifera reba,Pierre,Viet Nam
Anacardiaceae,Pistacia cucphuongensis,T.Ð.Ðai,Viet Nam
Anacardiaceae,Rhus chinensis,Mill.,Viet Nam
Anacardiaceae,Semecarpus anacardium,L.f.,Viet Nam
Anacardiaceae,Semecarpus cochinchinensis,Engl.,Viet Nam
Anacardiaceae,Semecarpus densiflorus,(Merr.) Steenis,Viet Nam
Anacardiaceae,Semecarpus reticulatus,Lecomte,Viet Nam
Anacardiaceae,Semecarpus velutinus,King,Viet Nam
Anacardiaceae,Spondias malayana,Kosterm.,Viet Nam
Anacardiaceae,Swintonia floribunda,Griff.,Viet Nam
Anacardiaceae,Swintonia pierrei,Hance,Viet Nam
Anacardiaceae,Toxicodendron rhetsoides,(W. G. Craib) Tardieu,Viet Nam
Anacardiaceae,Toxicodendron succedaneum,(L.) Kuntze,Viet Nam
Anisophylleaceae,Anisophyllea penninervata,J.E.Vidal,Viet Nam
Annonaceae,Alphonsea boniana,Finet & Gagnep.,Viet Nam
Annonaceae,Alphonsea gaudichaudiana,(Baill.) Finet & Gagnep.,Viet Nam
Annonaceae,Alphonsea monogyna,Merr. & Chun,Viet Nam
Annonaceae,Alphonsea philastreana,(Pierre) Pierre ex Finet & Gagnep.,Viet Nam
Annonaceae,Alphonsea sonlaensis,Bân,Viet Nam
Annonaceae,Alphonsea tonquinensis,A.DC,Viet Nam
Annonaceae,Anaxagorea luzonensis,A.Gray,Viet Nam
Annonaceae,Cananga brandisiana,(Pierre) Saff.,Viet Nam
Annonaceae,Cyathocalyx annamensis,Ast,Viet Nam
Annonaceae,Cyathocalyx harmandii,(Finet & Gagnep.) R.J.Wang & R.M.K.Saunders,Viet Nam
Annonaceae,Dasymaschalon evrardii,Ast,Viet Nam
Annonaceae,Dasymaschalon glaucum,Merr. & Chun,Viet Nam
Annonaceae,Dasymaschalon lomentaceum,Finet & Gagnep.,Viet Nam
Annonaceae,Dasymaschalon macrocalyx,Finet & Gagnep.,Viet Nam
Annonaceae,Dasymaschalon robinsonii,Ast,Viet Nam
Annonaceae,Dasymaschalon rostratum,Merr. & Chun,Viet Nam
Annonaceae,Disepalum petelotii,(Merr.) D.M.Johnson,Viet Nam
Annonaceae,Disepalum plagioneurum,(Diels) D.M.Johnson,Viet Nam
Annonaceae,Drepananthus filiformis,(Jovet-Ast) Survesw. & R.M.K.Saunders,Viet Nam
Annonaceae,Goniothalamus albiflorus,Bân,Viet Nam
Annonaceae,Goniothalamus chartaceus,H.L.Li,Viet Nam
Annonaceae,Goniothalamus chinensis,Merr. & Chun,Viet Nam
Annonaceae,Goniothalamus donnaiensis,Finet & Gagnep.,Viet Nam
Annonaceae,Goniothalamus elegans,Ast,Viet Nam
Annonaceae,Goniothalamus gabriacianus,(Baill.) Ast,Viet Nam
Annonaceae,Goniothalamus gracilipes,Bân,Viet Nam
Annonaceae,Goniothalamus macrocalyx,Bân,Viet Nam
Annonaceae,Goniothalamus multiovulatus,Ast,Viet Nam
Annonaceae,Goniothalamus ninhianus,Bân,Viet Nam
Annonaceae,Goniothalamus tamirensis,Pierre ex Finet & Gagnep.,Viet Nam
Annonaceae,Goniothalamus touranensis,Ast,Viet Nam
Annonaceae,Huberantha cerasoides,(Roxb.) Chaowasku,Viet Nam
