family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Vanuatu
Achariaceae,Pangium edule,Reinw.,Vanuatu
Anacardiaceae,Dracontomelon vitiense,Engl.,Vanuatu
Anacardiaceae,Semecarpus australiensis,Engl.,Vanuatu
Anacardiaceae,Semecarpus tannaensis,Guillaumin,Vanuatu
Annonaceae,Huberantha nitidissima,(Dunal) Chaowasku,Vanuatu
Apocynaceae,Alstonia costata,(G.Forst.) R.Br.,Vanuatu
Apocynaceae,Cerbera manghas,L.,Vanuatu
Apocynaceae,Cerbera odollam,Gaertn.,Vanuatu
Apocynaceae,Kopsia flavida,Blume,Vanuatu
Apocynaceae,Ochrosia alyxioides,Guillaumin,Vanuatu
Apocynaceae,Ochrosia elliptica,Labill.,Vanuatu
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Vanuatu
Apocynaceae,Tabernaemontana aurantiaca,Gaudich.,Vanuatu
Apocynaceae,Tabernaemontana pandacaqui,Poir.,Vanuatu
Araliaceae,Meryta neoebudica,(Guillaumin) Harms,Vanuatu
Araliaceae,Osmoxylon orientale,(Guillaumin) B.C.Stone,Vanuatu
Araliaceae,Plerandra actinostigma,"(A.C.Sm. & B.C.Stone) G.M.Plunkett, Lowry & Frodin",Vanuatu
Araliaceae,Plerandra cabalionii,"(Lowry) Lowry, G.M.Plunkett & Frodin",Vanuatu
Araliaceae,Plerandra tannae,"(A.C.Sm. & B.C.Stone) G.M.Plunkett, Lowry & Frodin",Vanuatu
Araliaceae,Plerandra vanuatua,"(Lowry) Lowry, G.M.Plunkett & Frodin",Vanuatu
Araliaceae,Polyscias cissodendron,(C.Moore & F.Muell.) Harms,Vanuatu
Araliaceae,Polyscias guilfoylei,(W.Bull) L.H.Bailey,Vanuatu
Araliaceae,Polyscias multijuga,(A.Gray) Harms,Vanuatu
Araliaceae,Polyscias samoensis,(A.Gray) Harms,Vanuatu
Araliaceae,Polyscias schmidii,Lowry,Vanuatu
Araliaceae,Polyscias scutellaria,(Burm.f.) Fosberg,Vanuatu
Araliaceae,Schefflera neoebudica,Guillaumin,Vanuatu
Araucariaceae,Agathis macrophylla,(Lindl.) Mast.,Vanuatu
Araucariaceae,Agathis silbae,de Laub.,Vanuatu
Arecaceae,Carpoxylon macrospermum,H.Wendl. & Drude,Vanuatu
Arecaceae,Caryota ophiopellis,Dowe,Vanuatu
Arecaceae,Clinostigma harlandii,Becc.,Vanuatu
Arecaceae,Cocos nucifera,L.,Vanuatu
Arecaceae,Cyphosperma voutmelense,Dowe,Vanuatu
Arecaceae,Heterospathe uniformis,Dowe,Vanuatu
Arecaceae,Hydriastele cylindrocarpa,(Becc.) W.J.Baker & Loo,Vanuatu
Arecaceae,Licuala cabalionii,Dowe,Vanuatu
Arecaceae,Licuala grandis,(T.Moore) H.Wendl.,Vanuatu
Arecaceae,Metroxylon salomonense,(Warb.) Becc.,Vanuatu
Arecaceae,Metroxylon warburgii,(Heimerl) Becc.,Vanuatu
Arecaceae,Neoveitchia brunnea,Dowe,Vanuatu
Arecaceae,Pelagodoxa mesocarpa,Burret,Vanuatu
Arecaceae,Physokentia tete,(Becc.) Becc.,Vanuatu
Arecaceae,Veitchia arecina,Becc.,Vanuatu
Arecaceae,Veitchia metiti,Becc.,Vanuatu
Arecaceae,Veitchia spiralis,H.Wendl.,Vanuatu
Arecaceae,Veitchia winin,H.E.Moore,Vanuatu
Asparagaceae,Cordyline fruticosa,(L.) A.Chev.,Vanuatu
Balanopaceae,Balanops pedicellata,(Guillaumin) Hjelmq.,Vanuatu
Boraginaceae,Cordia aspera,G.Forst.,Vanuatu
Boraginaceae,Cordia dichotoma,G.Forst.,Vanuatu
Boraginaceae,Cordia subcordata,Lam.,Vanuatu
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,Vanuatu
Burseraceae,Canarium indicum,L.,Vanuatu
Burseraceae,Garuga floribunda,Decne.,Vanuatu
Calophyllaceae,Calophyllum neoebudicum,Guillaumin,Vanuatu
Cannabaceae,Celtis paniculata,(Endl.) Planch.,Vanuatu
Cannabaceae,Parasponia andersonii,(Planch.) Planch.,Vanuatu
Casuarinaceae,Casuarina equisetifolia,L.,Vanuatu
Chloranthaceae,Ascarina diffusa,A.C.Sm.,Vanuatu
Chloranthaceae,Ascarina swamyana,A.C.Sm.,Vanuatu
Chrysobalanaceae,Atuna excelsa,(Jack) Kosterm.,Vanuatu
Clusiaceae,Garcinia pseudoguttifera,Seem.,Vanuatu
Clusiaceae,Garcinia vitiensis,(A.Gray) Seem.,Vanuatu
Combretaceae,Lumnitzera littorea,(Jack) Voigt,Vanuatu
Combretaceae,Terminalia catappa,L.,Vanuatu
Cornaceae,Alangium vitiense,(A.Gray) Baill. ex Harms,Vanuatu
Corynocarpaceae,Corynocarpus similis,Hemsl.,Vanuatu
Cunoniaceae,Geissois denhamii,Seem.,Vanuatu
Cunoniaceae,Pterophylla denhamii,(Seem.) Pillon & H.C.Hopkins,Vanuatu
Cunoniaceae,Pterophylla macgillivrayi,(Seem.) Pillon & H.C.Hopkins,Vanuatu
Cycadaceae,Cycas seemannii,A.Braun,Vanuatu
Dichapetalaceae,Dichapetalum timoriense,(DC.) Boerl.,Vanuatu
Dilleniaceae,Dillenia biflora,(A.Gray) Guillaumin,Vanuatu
Ebenaceae,Diospyros acris,Hemsl.,Vanuatu
Ebenaceae,Diospyros ferrea,(Willd.) Bakh.,Vanuatu
Ebenaceae,Diospyros samoensis,A.Gray,Vanuatu
Elaeocarpaceae,Elaeocarpus angustifolius,Blume,Vanuatu
Elaeocarpaceae,Elaeocarpus floridanus,Hemsl.,Vanuatu
Elaeocarpaceae,Elaeocarpus hortensis,Guillaumin,Vanuatu
Elaeocarpaceae,Elaeocarpus kajewskii,Guillaumin,Vanuatu
Ericaceae,Leucopogon cymbulae,Labill.,Vanuatu
Euphorbiaceae,Acalypha caturus,Blume,Vanuatu
Euphorbiaceae,Acalypha forsteriana,Müll.Arg.,Vanuatu
Euphorbiaceae,Acalypha repanda,Müll.Arg.,Vanuatu
Euphorbiaceae,Acalypha wilkesiana,Müll.Arg.,Vanuatu
