family,taxon,author,native to
Acanthaceae,Aphelandra parvispica,Leonard,Venezuela (Bolivarian Republic of)
Acanthaceae,Aphelandra pulcherrima,(Jacq.) Kunth,Venezuela (Bolivarian Republic of)
Acanthaceae,Aphelandra scabra,(Vahl) Sm.,Venezuela (Bolivarian Republic of)
Acanthaceae,Avicennia germinans,(L.) L.,Venezuela (Bolivarian Republic of)
Acanthaceae,Avicennia schaueriana,Stapf & Leechm. ex Moldenke,Venezuela (Bolivarian Republic of)
Acanthaceae,Bravaisia integerrima,(Spreng.) Standl.,Venezuela (Bolivarian Republic of)
Acanthaceae,Trichanthera corymbosa,Leonard,Venezuela (Bolivarian Republic of)
Acanthaceae,Trichanthera gigantea,(Bonpl.) Nees,Venezuela (Bolivarian Republic of)
Achariaceae,Carpotroche crispidentata,Ducke,Venezuela (Bolivarian Republic of)
Achariaceae,Carpotroche grandiflora,Spruce ex Eichler,Venezuela (Bolivarian Republic of)
Achariaceae,Carpotroche surinamensis,Uittien,Venezuela (Bolivarian Republic of)
Achariaceae,Lindackeria laurina,C.Presl,Venezuela (Bolivarian Republic of)
Achariaceae,Lindackeria paludosa,(Benth.) Gilg,Venezuela (Bolivarian Republic of)
Achariaceae,Mayna grandifolia,(H.Karst. & Triana) Warb.,Venezuela (Bolivarian Republic of)
Achariaceae,Mayna odorata,Aubl.,Venezuela (Bolivarian Republic of)
Achatocarpaceae,Achatocarpus nigricans,Triana,Venezuela (Bolivarian Republic of)
Actinidiaceae,Saurauia brachybotrys,Turcz.,Venezuela (Bolivarian Republic of)
Actinidiaceae,Saurauia excelsa,Willd.,Venezuela (Bolivarian Republic of)
Actinidiaceae,Saurauia floccifera,Triana & Planch.,Venezuela (Bolivarian Republic of)
Actinidiaceae,Saurauia meridensis,Steyerm.,Venezuela (Bolivarian Republic of)
Actinidiaceae,Saurauia scabra,(Kunth) D.Dietr.,Venezuela (Bolivarian Republic of)
Actinidiaceae,Saurauia tomentosa,(Kunth) Spreng.,Venezuela (Bolivarian Republic of)
Actinidiaceae,Saurauia yasicae,Loes.,Venezuela (Bolivarian Republic of)
Anacardiaceae,Anacardium excelsum,(Bertero ex Kunth) Skeels,Venezuela (Bolivarian Republic of)
Anacardiaceae,Anacardium giganteum,Hancock ex Engl.,Venezuela (Bolivarian Republic of)
Anacardiaceae,Anacardium occidentale,L.,Venezuela (Bolivarian Republic of)
Anacardiaceae,Anacardium spruceanum,Benth. ex Engl.,Venezuela (Bolivarian Republic of)
Anacardiaceae,Astronium fraxinifolium,Schott,Venezuela (Bolivarian Republic of)
Anacardiaceae,Astronium graveolens,Jacq.,Venezuela (Bolivarian Republic of)
Anacardiaceae,Astronium lecointei,Ducke,Venezuela (Bolivarian Republic of)
Anacardiaceae,Astronium ulei,Mattick,Venezuela (Bolivarian Republic of)
Anacardiaceae,Campnosperma gummiferum,(Benth.) Marchand,Venezuela (Bolivarian Republic of)
Anacardiaceae,Cyrtocarpa velutinifolia,(R.S.Cowan) J.D.Mitch. & Daly,Venezuela (Bolivarian Republic of)
Anacardiaceae,Loxopterygium sagotii,Hook.f.,Venezuela (Bolivarian Republic of)
Anacardiaceae,Mauria heterophylla,Kunth,Venezuela (Bolivarian Republic of)
Anacardiaceae,Mauria simplicifolia,Kunth,Venezuela (Bolivarian Republic of)
Anacardiaceae,Ochoterenaea colombiana,F.A.Barkley,Venezuela (Bolivarian Republic of)
Anacardiaceae,Spondias globosa,J.D.Mitch. & Daly,Venezuela (Bolivarian Republic of)
Anacardiaceae,Spondias mombin,L.,Venezuela (Bolivarian Republic of)
Anacardiaceae,Spondias radlkoferi,Donn.Sm.,Venezuela (Bolivarian Republic of)
Anacardiaceae,Tapirira guianensis,Aubl.,Venezuela (Bolivarian Republic of)
Anacardiaceae,Tapirira obtusa,(Benth.) J.D.Mitch.,Venezuela (Bolivarian Republic of)
Anacardiaceae,Thyrsodium spruceanum,Benth.,Venezuela (Bolivarian Republic of)
Annonaceae,Anaxagorea acuminata,(Dunal) A.St.-Hil. ex A.DC.,Venezuela (Bolivarian Republic of)
Annonaceae,Anaxagorea angustifolia,Timmerman,Venezuela (Bolivarian Republic of)
Annonaceae,Anaxagorea brachycarpa,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Anaxagorea brevipes,Benth.,Venezuela (Bolivarian Republic of)
Annonaceae,Anaxagorea dolichocarpa,Sprague & Sandwith,Venezuela (Bolivarian Republic of)
Annonaceae,Anaxagorea gigantophylla,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Anaxagorea petiolata,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Anaxagorea rufa,Timmerman,Venezuela (Bolivarian Republic of)
Annonaceae,Annona ambotay,Aubl.,Venezuela (Bolivarian Republic of)
Annonaceae,Annona atabapensis,Kunth,Venezuela (Bolivarian Republic of)
Annonaceae,Annona cuspidata,(Mart.) H.Rainer,Venezuela (Bolivarian Republic of)
Annonaceae,Annona exsucca,DC.,Venezuela (Bolivarian Republic of)
Annonaceae,Annona fendleri,(R.E.Fr.) H.Rainer,Venezuela (Bolivarian Republic of)
Annonaceae,Annona foetida,Mart.,Venezuela (Bolivarian Republic of)
Annonaceae,Annona gigantophylla,(R.E.Fr.) R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Annona glabra,L.,Venezuela (Bolivarian Republic of)
Annonaceae,Annona hypoglauca,Mart.,Venezuela (Bolivarian Republic of)
Annonaceae,Annona inconformis,Pittier,Venezuela (Bolivarian Republic of)
Annonaceae,Annona jahnii,Saff.,Venezuela (Bolivarian Republic of)
Annonaceae,Annona montana,Macfad.,Venezuela (Bolivarian Republic of)
Annonaceae,Annona mucosa,Jacq.,Venezuela (Bolivarian Republic of)
Annonaceae,Annona muricata,L.,Venezuela (Bolivarian Republic of)
Annonaceae,Annona neovelutina,H.Rainer,Venezuela (Bolivarian Republic of)
Annonaceae,Annona paludosa,Aubl.,Venezuela (Bolivarian Republic of)
Annonaceae,Annona punicifolia,Triana & Planch.,Venezuela (Bolivarian Republic of)
Annonaceae,Annona purpurea,Moc. & Sessé ex Dunal,Venezuela (Bolivarian Republic of)
Annonaceae,Annona reticulata,L.,Venezuela (Bolivarian Republic of)
Annonaceae,Annona sericea,Dunal,Venezuela (Bolivarian Republic of)
Annonaceae,Annona symphyocarpa,Sandwith,Venezuela (Bolivarian Republic of)
Annonaceae,Bocageopsis canescens,(Benth.) R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Bocageopsis multiflora,(Mart.) R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Cremastosperma macrocarpum,Maas,Venezuela (Bolivarian Republic of)
Annonaceae,Cremastosperma venezuelanum,Pirie,Venezuela (Bolivarian Republic of)
Annonaceae,Cymbopetalum brasiliense,(Vell.) Benth. ex Baill.,Venezuela (Bolivarian Republic of)
Annonaceae,Diclinanona calycina,(Diels) R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia aberrans,Maas,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia argentea,(R.E.Fr.) R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia calycina,Benoist,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia cauliflora,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia dimorphopetala,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia latifolia,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia lepidota,(Miq.) Pulle,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia lucida,Urb.,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia macrophylla,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia megalophylla,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia pauciflora,Rusby,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia pycnastera,Sandwith,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia quitarensis,Benth.,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia riberensis,Aristeg. ex Maas & Boon,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia rigida,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia rionegrensis,Zuilen & Maas,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia sancticaroli,Maas,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia tenuis,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia trunciflora,Maas & A.H.Gentry,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia uniflora,(DC.) Mart.,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia vallicola,J.F.Macbr.,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia venezuelana,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Duguetia yeshidan,Sandwith,Venezuela (Bolivarian Republic of)
Annonaceae,Ephedranthus amazonicus,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Froesiodendron amazonicum,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Fusaea longifolia,(Aubl.) Saff.,Venezuela (Bolivarian Republic of)
Annonaceae,Guatteria atabapensis,Aristeg. ex D.M.Johnson & N.A.Murray,Venezuela (Bolivarian Republic of)
Annonaceae,Guatteria auyantepuiensis,Maas & Westra,Venezuela (Bolivarian Republic of)
Annonaceae,Guatteria bernardii,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Guatteria blepharophylla,Mart.,Venezuela (Bolivarian Republic of)
Annonaceae,Guatteria castilloi,Maas & Westra,Venezuela (Bolivarian Republic of)
Annonaceae,Guatteria dura,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Guatteria flexilis,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Guatteria foliosa,Benth.,Venezuela (Bolivarian Republic of)
Annonaceae,Guatteria heteropetala,Benth.,Venezuela (Bolivarian Republic of)
Annonaceae,Guatteria hirsuta,Ruiz & Pav.,Venezuela (Bolivarian Republic of)
Annonaceae,Guatteria insculpta,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Guatteria inundata,Mart.,Venezuela (Bolivarian Republic of)
Annonaceae,Guatteria liesneri,D.M.Johnson & N.A.Murray,Venezuela (Bolivarian Republic of)
Annonaceae,Guatteria longicuspis,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Guatteria maguirei,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Guatteria maypurensis,Kunth,Venezuela (Bolivarian Republic of)
Annonaceae,Guatteria monticola,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Guatteria pachyphylla,Maas & Westra,Venezuela (Bolivarian Republic of)
Annonaceae,Guatteria procera,R.E.Fr.,Venezuela (Bolivarian Republic of)
Annonaceae,Guatteria punctata,(Aubl.) R.A.Howard,Venezuela (Bolivarian Republic of)
