family,taxon,author,native to
Capparaceae,Boscia senegalensis,Lam.,Western Sahara
Capparaceae,Cadaba farinosa,Forssk.,Western Sahara
Capparaceae,Capparis decidua,(Forssk.) Edgew.,Western Sahara
Capparaceae,Maerua crassifolia,Forssk.,Western Sahara
Combretaceae,Combretum aculeatum,Vent.,Western Sahara
Fabaceae,Faidherbia albida,(Delile) A.Chev.,Western Sahara
Fabaceae,Vachellia tortilis,(Forssk.) Galasso & Banfi,Western Sahara
Malvaceae,Grewia tenax,(Forssk.) Fiori,Western Sahara
Santalaceae,Osyris lanceolata,Hochst. & Steud.,Western Sahara
Zygophyllaceae,Balanites aegyptiaca,(L.) Delile,Western Sahara
