family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Yemen
Acanthaceae,Barleria popovii,Verdc.,Yemen
Acanthaceae,Blepharis dhofarensis,A.G.Mill.,Yemen
Acanthaceae,Ruellia insignis,Balf.f.,Yemen
Anacardiaceae,Lannea fruticosa,(Hochst. ex A.Rich.) Engl.,Yemen
Anacardiaceae,Lannea transulta,(Balf.f.) Radcl.-Sm.,Yemen
Anacardiaceae,Ozoroa insignis,Delile,Yemen
Anacardiaceae,Pistacia aethiopica,Kokwaro,Yemen
Anacardiaceae,Pistacia atlantica,Desf.,Yemen
Anacardiaceae,Searsia glutinosa,(Hochst. ex A.Rich.) Moffett,Yemen
Anacardiaceae,Searsia retinorrhoea,(Steud. ex Oliv.) Moffett,Yemen
Anacardiaceae,Searsia somalensis,(Engl.) Moffett,Yemen
Anacardiaceae,Searsia thyrsiflora,(Balf.f.) Moffett,Yemen
Anacardiaceae,Searsia tripartita,(Ucria) Moffett,Yemen
Apiaceae,Heteromorpha arborescens,(Spreng.) Cham. & Schltdl.,Yemen
Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,Yemen
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,Yemen
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Yemen
Apocynaceae,Carissa spinarum,L.,Yemen
Apocynaceae,Cryptolepis arbuscula,(Radcl.-Sm.) Venter,Yemen
Apocynaceae,Cryptolepis macrophylla,(Radcl.-Sm.) Venter,Yemen
Apocynaceae,Periploca aphylla,Decne.,Yemen
Araliaceae,Cussonia holstii,Harms ex Engl.,Yemen
Araliaceae,Polyscias fulva,(Hiern) Harms,Yemen
Arecaceae,Hyphaene reptans,Becc.,Yemen
Arecaceae,Hyphaene thebaica,(L.) Mart.,Yemen
Arecaceae,Livistona carinensis,(Chiov.) J.Dransf. & N.W.Uhl,Yemen
Arecaceae,Nannorrhops ritchieana,(Griff.) Aitch.,Yemen
