family,taxon,author,native to
Acanthaceae,Anisotes pubinervius,(T.Anderson) Heine,Zambia
Achariaceae,Lindackeria bukobensis,Gilg,Zambia
Achariaceae,Lindackeria fragrans,(Gilg) Gilg,Zambia
Achariaceae,Rawsonia lucida,Harv. & Sond.,Zambia
Anacardiaceae,Lannea antiscorbutica,(Hiern) Engl.,Zambia
Anacardiaceae,Lannea asymmetrica,R.E.Fr.,Zambia
Anacardiaceae,Lannea discolor,(Sond.) Engl.,Zambia
Anacardiaceae,Lannea schimperi,(Hochst. ex A.Rich.) Engl.,Zambia
Anacardiaceae,Lannea schweinfurthii,Engl.,Zambia
Anacardiaceae,Ozoroa insignis,Delile,Zambia
Anacardiaceae,Ozoroa kassneri,(Engl. & Brehmer) R.Fern. & A.Fern.,Zambia
Anacardiaceae,Ozoroa longipes,(Engl. & Gilg) R.Fern. & A.Fern.,Zambia
Anacardiaceae,Ozoroa obovata,(Oliv.) R.Fern. & A.Fern.,Zambia
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Zambia
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Zambia
Anacardiaceae,Searsia anchietae,(Ficalho & Hiern) Moffett,Zambia
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,Zambia
Anacardiaceae,Searsia lancea,(L.f.) F.A.Barkley,Zambia
Anacardiaceae,Searsia longipes,(Engl.) Moffett,Zambia
Anacardiaceae,Searsia lucens,(Hutch.) Moffett,Zambia
Anacardiaceae,Searsia pyroides,(Burch.) Moffett,Zambia
Anacardiaceae,Searsia quartiniana,(A.Rich.) A.J.Mill.,Zambia
Anacardiaceae,Searsia rehmanniana,(Engl.) Moffett,Zambia
Anacardiaceae,Searsia tenuinervis,(Engl.) Moffett,Zambia
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,Zambia
Annonaceae,Annona senegalensis,Pers.,Zambia
Annonaceae,Artabotrys brachypetalus,Benth.,Zambia
Annonaceae,Artabotrys monteiroae,Oliv.,Zambia
Annonaceae,Cleistochlamys kirkii,(Benth.) Oliv.,Zambia
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Zambia
Annonaceae,Monanthotaxis buchananii,(Engl.) Verdc.,Zambia
Annonaceae,Monanthotaxis obovata,(Benth.) P.H.Hoekstra,Zambia
Annonaceae,Monanthotaxis parvifolia,(Oliv.) Verdc.,Zambia
Annonaceae,Monodora angolensis,Welw.,Zambia
Annonaceae,Sphaerocoryne gracilis,(Engl. & Diels) Verdc.,Zambia
Annonaceae,Uvaria angolensis,Welw. ex Oliv.,Zambia
Annonaceae,Uvaria welwitschii,(Hiern) Engl. & Diels,Zambia
Annonaceae,Uvariastrum hexaloboides,(R.E.Fr.) R.E.Fr. ex N.Robson,Zambia
Annonaceae,Uvariopsis congensis,Robyns & Ghesq.,Zambia
Annonaceae,Xylopia acutiflora,(Dunal) A.Rich.,Zambia
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Zambia
Annonaceae,Xylopia katangensis,De Wild.,Zambia
Annonaceae,Xylopia odoratissima,Welw. ex Oliv.,Zambia
Annonaceae,Xylopia rubescens,Oliv.,Zambia
Annonaceae,Xylopia shirensis,(Diels & Engl.) D.M.Johnson & N.A.Murray,Zambia
Apiaceae,Heteromorpha arborescens,(Spreng.) Cham. & Schltdl.,Zambia
Apiaceae,Steganotaenia araliacea,Hochst.,Zambia
Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,Zambia
Apocynaceae,Adenium multiflorum,Klotzsch,Zambia
Apocynaceae,Carissa macrocarpa,(Eckl.) A.DC.,Zambia
