SpeciesName,Flower color,Flower sex,Flowering lag time: number of days from exposition start to flowering,Flowering requirement (requirement for fertility),Fruit type,Plant flowering,Plant growth form,Plant growth temperature range,Plant height,Plant human usage types,Plant lifespan (longevity),Plant lifespan: age trees reach in forested stands,Plant woodiness,Seed germination base temperature,Seed germination base water potential,Seed germination lag time,Seed germination requirement,Seed germination temperature,Seed germination type,Wood growth ring distinction
#Acacia baileyana F.Muell.,,,,,dry,,,,,,,,,,,,,,,
#Acacia dealbata Link,,,,,dry,,,,,,,,,,,,,,,
#Acacia decurrens Willd.,,,,,dry,,,,,,,,,,,,,,,
#Acacia elata A.Cunn. ex Benth.,,,,,dry,,,,,,,,,,,,,,,
#Acacia iteaphylla F.Muell. ex Benth.,,,,,dry,,,,,,,,,,,,,,,
#Acacia longifolia (Andrews) Willd.,,,,,dry,,,,,,,,,,,,,,,
#Acacia mearnsii De Wild.,,,,,dry,,,,,,,,,,,,,,,
#Acacia podalyriifolia A.Cunn. ex G.Don,,,,,dry,,,,,,,,,,,,,,,
#Acacia pycnantha Benth.,,,,,dry,,,,,,,,,,,,,,,
#Acacia saligna (Labill.) H.L.Wendl.,,,,,dry,,,,,,,,,,,,,,,
#Acacia spectabilis A.Cunn. ex Benth.,,,,,dry,,,,,,,,,,,,,,,
#Hakea sericea Schrad. & J.C.Wendl.,,,,,dry,,,,,,,,,,,,,,,
#Senna barclayana (Sweet) Randell,,,,,dry,,,,,,,,,,,,,,,
(Asteraceae2 sp.,,,,,,,herb,,,,,,,,,,,,,
(Brassicaceae2 sp.,,,,,,,herb,,,,,,,,,,,,,
(Fabaceae1 sp.,,,,,,,tree,,,,,,,,,,,,,
(Lauraceae1 sixtonia,,,,,,,tree,,,,,,,,,,,,,
(lauraceae) pubescente,,,,,,,free,,,,,,,,,,,,,
(u_Ara11579 sp,,,,,,,herb,,,,,,non-woody,,,,,,,
(u_Ara6382 sp,,,,,,,herb,,,,,,non-woody,,,,,,,
(u_Ara6383 sp,,,,,,,herb,,,,,,non-woody,,,,,,,
(u_Ara6384 sp,,,,,,,herb,,,,,,non-woody,,,,,,,
(u_Araceae sp11579,,,,,,,Herbaceous dicots,,,,,,non-woody,,,,,,,
(u_Araceae sp6382,,,,,,,Herbaceous dicots,,,,,,non-woody,,,,,,,
(u_Araceae sp6383,,,,,,,Herbaceous dicots,,,,,,non-woody,,,,,,,
(u_Araceae sp6384,,,,,,,Herbaceous dicots,,,,,,non-woody,,,,,,,
(u_Arecaceae sp6355,,,,,,,Palm,,,,,,woody,,,,,,,
(u_Aster14327 sp,,,,,,,herb,,,,,,non-woody,,,,,,,
(u_Asteraceae sp14327,,,,,,,Herbaceous dicots,,,,,,non-woody,,,,,,,
(u_Betula402 sp,,,,,,,tree,,,,,,woody,,,,,,,
(u_Betulaceae sp402,,,,,,,Tree,,,,,,woody,,,,,,,
(u_Crasu14326 sp,,,,,,,herb,,,,,,non-woody,,,,,,,
(u_Crasulaceae sp14326,,,,,,,Herbaceous dicots,,,,,,non-woody,,,,,,,
(u_Faba14504 sp,,,,,,,vine,,,,,,non-woody,,,,,,,
(u_Fabaceae sp14504,,,,,,,Vines (non-woody climbers),,,,,,non-woody,,,,,,,
(u_Fabaceae sp2253,,,,,,,shrub,,,,,,woody,,,,,,,
(u_Fabaceae sp2397,,,,,,,shrub,,,,,,woody,,,,,,,
(u_Herb2874 sp,,,,,,,herb,,,,,,non-woody,,,,,,,
(u_Liliaceae sp2564,,,,,,,herb,,,,,,non-woody,,,,,,,
(u_Loranth sp1809,,,,,,,vine,,,,,,non-woody,,,,,,,
(u_Loranthaceae sp1809,,,,,,,Vines (non-woody climbers),,,,,,non-woody,,,,,,,
(u_Malphig sp6395,,,,,,,liana,,,,,,woody,,,,,,,
(u_Malpighiaceae sp6395,,,,,,,Lianas (wody climbers),,,,,,woody,,,,,,,
(u_Myrtaceae sp,,,,,,,shrub,,,,,,woody,,,,,,,
(u_Myrtaceae sp6136,,,,,,,Shrub,,,,,,woody,,,,,,,
(u_Orchid sp3599,,,,,,,Herbaceous dicots,,,,,,non-woody,,,,,,,
(u_Orchid sp3602,,,,,,,Herbaceous dicots,,,,,,non-woody,,,,,,,
(u_Orchid sp6410,,,,,,,Herbaceous dicots,,,,,,non-woody,,,,,,,
(u_Orchid17537 sp,,,,,,,herb,,,,,,non-woody,,,,,,,
(u_Orchid3599 sp,,,,,,,herb,,,,,,non-woody,,,,,,,
(u_Orchid3602 sp,,,,,,,herb,,,,,,non-woody,,,,,,,
(u_Palm6355 sp,,,,,,,shrub,,,,,,woody,,,,,,,
(u_Piperaceae sp6392,,,,,,,liana,,,,,,woody,,,,,,,
(u_Poaceae sp1,,,,,,,grass,,,,,,non-woody,,,,,,,
(u_Poaceae sp18075,,,,,,,Graminoids,,,,,,non-woody,,,,,,,
(u_Poaceae sp18091,,,,,,,Graminoids,,,,,,non-woody,,,,,,,
(u_Poaceae sp18092,,,,,,,Graminoids,,,,,,non-woody,,,,,,,
(u_Poaceae sp1983,,,,,,,Graminoids,,,,,,non-woody,,,,,,,
(u_Poaceae sp2049,,,,,,,Graminoids,,,,,,non-woody,,,,,,,
(u_Poaceae sp2084,,,,,,,Graminoids,,,,,,non-woody,,,,,,,
(u_Poaceae sp2516,,,,,,,Graminoids,,,,,,non-woody,,,,,,,
(u_Poaceae sp2529,,,,,,,Graminoids,,,,,,non-woody,,,,,,,
(u_Polp sp6388_liana,,,,,,,fern,,,,,,non-woody,,,,,,,
(u_Polypodiaceae sp6388,,,,,,,Fern or fern ally,,,,,,non-woody,,,,,,,
(u_Rubi14328 sp,,,,,,,herb,,,,,,non-woody,,,,,,,
(u_Rubiaceae sp14328,,,,,,,Herbaceous dicots,,,,,,non-woody,,,,,,,
