SpeciesName,Flower color,Flower sex,Flowering lag time: number of days from exposition start to flowering,Flowering requirement (requirement for fertility),Fruit type,Plant flowering,Plant growth form,Plant growth temperature range,Plant height,Plant human usage types,Plant lifespan (longevity),Plant lifespan: age trees reach in forested stands,Plant woodiness,Seed germination base temperature,Seed germination base water potential,Seed germination lag time,Seed germination requirement,Seed germination temperature,Seed germination type,Wood growth ring distinction,Any flowering data
(Fabaceae1 sp.,,,,,,,tree,,,,,,,,,,,,,,Remove
(Lauraceae1 sixtonia,,,,,,,tree,,,,,,,,,,,,,,Remove
(u_Arecaceae sp6355,,,,,,,Palm,,,,,,woody,,,,,,,,Remove
(u_Betula402 sp,,,,,,,tree,,,,,,woody,,,,,,,,Remove
(u_Betulaceae sp402,,,,,,,Tree,,,,,,woody,,,,,,,,Remove
(u_Ruta13249 sp,,,,,,,tree,,,,,,woody,,,,,,,,Remove
(u_Rutaceae sp13249,,,,,,,Tree,,,,,,woody,,,,,,,,Remove
(u_Solana11399 sp,,,,,,,tree,,,,,,woody,,,,,,,,Remove
(u_Solanaceae sp11399,,,,,,,Tree,,,,,,woody,,,,,,,,Remove
(u_angio1236 sp,,,,,,,tree,,,,,,woody,,,,,,,,Remove
(u_angio233 sp,,,,,,,tree,,,,,,woody,,,,,,,,Remove
(u_tree3540 sp,,,,,,,tree,,,,,,woody,,,,,,,,Remove
10 Tree species,,,,,,,tree,,,,,,,,,,,,,,Remove
22 Tree species,,,,,,,tree,,,,,,,,,,,,,,Remove
23 Tree species,,,,,,,tree,,,,,,,,,,,,,,Remove
4 Tree species,,,,,,,tree,,,,,,,,,,,,,,Remove
40 Tree species,,,,,,,tree,,,,,,,,,,,,,,Remove
5 Tall Catinga species,,,,,,,tree,,,,,,,,,,,,,,Remove
68 Tree species,,,,,,,tree,,,,,,,,,,,,,,Remove
74 Tree species,,,,,,,tree,,,,,,,,,,,,,,Remove
8 Mixed forest species,,,,,,,tree,,,,,,,,,,,,,,Remove
9 Low Catinga species,,,,,,,tree,,,,,,,,,,,,,,Remove
9 Tree species,,,,,,,tree,,,,,,,,,,,,,,Remove
?Diospyros sp. HIRO2,,,,,,,tree,,,,,,,,,,,,,,Remove
?Diospyros sp. HIRO3,,,,,,,tree,,,,,,,,,,,,,,Remove
A NA,,,,,,,tree / shrub,,,,,,,,,,,,,,Remove
A ramiflorum,,,,,,,tree / shrub,,,,,,,,,,,,,,Remove
A tambopatense,,,,,,,tree / shrub,,,,,,,,,,,,,,Remove
A-Amelasorbus jackii,,,,,,,"Tree, Shrub",,,,,,,,,,,,,,Remove
