Species,Publication Author,LSID,Category of Use,Crop Wild Relative,Source
Cycas apoa,K.D.Hill,980285-1,Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Cycas circinalis,L.,328822-2,Human Food; Medicines; Poisons; Social Uses,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Cycas inermis,Lour.,297004-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Cycas media,R.Br.,297013-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Cycas micronesica,K.D.Hill,980286-1,Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Cycas pectinata,Buch.-Ham.,297022-1,Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Cycas revoluta,Thunb.,328823-2,Environmental Uses; Gene Sources; Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA)
Cycas rumphii,Miq.,326820-2,Environmental Uses; Gene Sources; Human Food; Invertebrate Food; Materials; Medicines; Poisons; Social Uses,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA)
Cycas siamensis,Miq.,297036-1,Environmental Uses; Human Food; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Cycas taiwaniana,Carruth.,297043-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Cycas thouarsii,R.Br.,297044-1,Environmental Uses; Gene Sources; Human Food,False,Germplasm Resources Information Network from USDA (GRIN); Plant Resources for Tropical Africa (PROTA)
Bowenia serrulata,(W.Bull) Chamb.,296944-1,Environmental Uses; Medicines; Poisons,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
