scientificname,dominant biome,dominant climatic moisture index,flower color,flower sex,flowering lag time: number of days from exposition start to flowering,flowering requirement (requirement for fertility),fruit type,plant flowering,plant growth form,plant growth temperature range,plant height,plant human usage types,plant lifespan (longevity),plant lifespan: age trees reach in forested stands,plant woodiness,seed germination base temperature,seed germination base water potential,seed germination lag time,seed germination requirement,seed germination temperature,seed germination type,wood growth ring distinction,Category of Use,Crop Wild Relative,native to,native range
euptelea pleiosperma,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),moist (9),,,,,,,Tree,,,FALSE,Perennial,,woody,,,,,,,,Materials,False,Bhutan|China|India,Southern Asia|Eastern Asia
euptelea polyandra,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),very wet (2) | wet (3),,,,,,,tree/woody,,,,Perennial,,W,,,,,,,,,,Japan,Eastern Asia
bocconia arborea,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9) | dry sub-humid (9),,,,,,,trees,,,,,,W,,,,,,,diffuse,Environmental Uses; Materials; Medicines,False,Costa Rica|El Salvador|Guatemala|Honduras|Mexico,Central America
bocconia frutescens,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (9) | moist (9) | dry sub-humid (9),,,,,,,herb,,,,,,non-woody,,,,,,,,Environmental Uses; Materials; Medicines,False,Antigua and Barbuda|Bahamas|Belize|Bolivia (Plurinational State of)|Colombia|Costa Rica|Cuba|Dominica|Dominican Republic|El Salvador|Grenada|Guadeloupe|Guatemala|Haiti|Honduras|Jamaica|Martinique|Mexico|Montserrat|Nicaragua|Panama|Peru|Puerto Rico|Saint Kitts and Nevis|Saint Lucia|Saint Vincent and the Grenadines|Venezuela (Bolivarian Republic of),Caribbean|Central America|South America
bocconia glaucifolia,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (2) | moist (3),,,,,,,Tree,,,,,,,,,,,,,,,,El Salvador|Guatemala|Honduras|Mexico,Central America
bocconia gracilis,,,,,,,,,Shrub,,,,,,,,,,,,,,,,Guatemala|Honduras|Mexico,Central America
bocconia hintoniorum,tropical (min temp coldest month 18°C or higher) (1),moist (1),,,,,,,,,,,,,,,,,,,,,,,Mexico,Central America
bocconia integrifolia,tropical (min temp coldest month less than 18°C) (9) | subtropical (9),moist (9) | dry sub-humid (9),,,,,,,trees,,,,,,W,,,,,,,,Medicines,False,Argentina|Bolivia (Plurinational State of)|Colombia|Ecuador|Peru|Venezuela (Bolivarian Republic of),South America
bocconia latisepala,,,,,,,,,,,,,,,,,,,,,,,Medicines,False,Mexico,Central America
bocconia vulcanica,tropical (min temp coldest month less than 18°C) (9),wet (2) | moist (3),,,,,,,trees,,,,,,W,,,,,,,,,,Guatemala|Mexico,Central America
dendromecon harfordii,tropical (min temp coldest month 18°C or higher) (1),semi-arid (1),,,,,,,Shrub,,,,,,W,,,,,,,,,,United States of America,Northern America
dendromecon rigida,tropical (min temp coldest month less than 18°C) (9),moist (9) | dry sub-humid (9),,,,,,,shrub,,,,10,,W,,,,,,,,Medicines,False,Mexico|United States of America,Central America|Northern America
abuta grandifolia,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,liana,,,,,,woody,,,,,,,,Materials; Medicines,False,Bolivia (Plurinational State of)|Brazil|Colombia|Ecuador|French Guiana|Guyana|Peru|Suriname|Venezuela (Bolivarian Republic of),South America
abuta grisebachii,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,liana,,,,,,woody,,,,,,,,,,Brazil|Colombia|French Guiana|Peru|Venezuela (Bolivarian Republic of),South America
abuta imene,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,liana,,,,,,woody,,,,,,,,,,Bolivia (Plurinational State of)|Brazil|Colombia|Ecuador|French Guiana|Guyana|Peru|Suriname|Venezuela (Bolivarian Republic of),South America
abuta panurensis,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Liana,,,,,,W,,,,,,,,,,Brazil|Peru,South America
abuta rufescens,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,vine,,,,,,W,,,,,,,,Materials; Medicines,False,Bolivia (Plurinational State of)|Brazil|Colombia|Ecuador|French Guiana|Guyana|Peru|Suriname,South America
abuta sandwithiana,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Liana,,,,,,W,,,,,,,,,,Bolivia (Plurinational State of)|Brazil|French Guiana|Guyana|Peru|Suriname,South America
abuta velutina,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,liana,,,,,,woody,,,,,,,,,,Brazil|Ecuador|Guyana|Peru|Venezuela (Bolivarian Republic of),South America
burasaia australis,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,Medicines,False,Madagascar,Eastern Africa
burasaia gracilis,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,Materials; Medicines,False,Madagascar,Eastern Africa
burasaia madagascariensis,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,tree,,,,,,W,,,,,,,,Gene Sources; Human Food; Materials; Medicines,False,Madagascar,Eastern Africa
cissampelos sympodialis,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,Vine,,,,,,,,,,,,,,Medicines,False,Brazil,South America
hyperbaena allenii,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Liana,,,,,,,,,,,,,,,,Panama,Central America
hyperbaena brevipes,,,,,,,,,lianas,,,,,,,,,,,,,,,,Dominican Republic|Haiti,Caribbean
hyperbaena eladioana,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,W,,,,,,,,,,Costa Rica,Central America
hyperbaena jalcomulcensis,tropical (min temp coldest month 18°C or higher) (1),moist (2) | dry sub-humid (3),,,,,,,Tree,,,,,,,,,,,,,,,,Mexico,Central America
hyperbaena laurifolia,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,Liana,,,,,,,,,,,,,,,,Haiti|Puerto Rico|United States Virgin Islands,Caribbean
hyperbaena leptobotryosa,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,lianas,,,,,,W,,,,,,,,,,Costa Rica|El Salvador|Guatemala|Panama,Central America
hyperbaena lindmanii,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Dominican Republic|Haiti,Caribbean
hyperbaena mexicana,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,tree,,,,,,woody,,,,,,,,,,Belize|El Salvador|Guatemala|Honduras|Mexico,Central America
hyperbaena prioriana,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,tree,,,,,,woody,,,,,,,,,,Jamaica,Caribbean
